quote_id,snapshot_id,observed_at,root,expiry,settlement_at,exercise,settlement_style,option_type,strike,bid,ask,bid_size,ask_size
FIXTURE-60-000-C,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,C,3916.051993458868,2094.2007970362965,2095.7007970362965,5,7
FIXTURE-60-000-P,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,P,3916.051993458868,0.21683273830810235,0.25488880101928685,5,7
FIXTURE-60-001-C,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,C,4051.60763938629,1960.028896555699,1961.528896555699,5,7
FIXTURE-60-001-P,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,P,4051.60763938629,0.4248447698450598,0.49971853172223,5,7
FIXTURE-60-002-C,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,C,4187.163285313713,1825.481428853449,1826.981428853449,5,7
FIXTURE-60-002-P,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,P,4187.163285313713,0.7951796895847503,0.9342001954882135,5,7
FIXTURE-60-003-C,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,C,4322.718931241135,1691.571386128964,1693.071386128964,5,7
FIXTURE-60-003-P,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,P,4322.718931241135,1.4320754124086659,1.676971992583675,5,7
FIXTURE-60-004-C,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,C,4458.274577168557,1558.0384405019129,1559.5384405019129,5,7
FIXTURE-60-004-P,SYNTHETIC-ONLY-01,2026-01-15T15:45:00-05:00,SPXW,2026-03-16,2026-03-16T16:00:00-04:00,European,PM,P,4458.274577168557,2.338774190111513,2.750028363334282,5,7
