symbol,root,expiry,option_type,strike,bid,ask,midpoint,spread,relative_spread,local_price_screen_pass,exclusion_reasons,warnings
SPX261016C00200000,SPX,2026-10-16,C,200.0,7446.1,7465.3,7455.700000000001,19.199999999999818,0.002575210912456217,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P00200000,SPX,2026-10-16,P,200.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C00400000,SPX,2026-10-16,C,400.0,7246.8,7267.0,7256.9,20.199999999999818,0.002783557717482647,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P00400000,SPX,2026-10-16,P,400.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C00600000,SPX,2026-10-16,C,600.0,7046.7,7065.3,7056.0,18.600000000000364,0.002636054421768759,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P00600000,SPX,2026-10-16,P,600.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C00800000,SPX,2026-10-16,C,800.0,6848.1,6867.9,6858.0,19.799999999999272,0.0028871391076114423,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P00800000,SPX,2026-10-16,P,800.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C01000000,SPX,2026-10-16,C,1000.0,6648.7,6666.8,6657.75,18.100000000000364,0.002718636175885301,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P01000000,SPX,2026-10-16,P,1000.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C01200000,SPX,2026-10-16,C,1200.0,6449.4,6468.6,6459.0,19.200000000000728,0.002972596377148278,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P01200000,SPX,2026-10-16,P,1200.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016C01400000,SPX,2026-10-16,C,1400.0,6250.1,6270.1,6260.1,20.0,0.0031948371431766262,True,,unconfirmed_bid_size;unconfirmed_ask_size
SPX261016P01400000,SPX,2026-10-16,P,1400.0,0.0,0.05,0.025,0.05,2.0,False,zero_bid;wide_spread,unconfirmed_bid_size;unconfirmed_ask_size
