left_edge,right_edge,probability_mass
1.822641212773141888e+03,1.918836165669502179e+03,1.871075402958668890e-17
1.918836165669502179e+03,2.015031118565862471e+03,3.504153759366814107e-17
2.015031118565862471e+03,2.111226071462222535e+03,0.000000000000000000e+00
2.111226071462222535e+03,2.207421024358583054e+03,7.438213665216133647e-17
2.207421024358583054e+03,2.303615977254943118e+03,1.251933914287835958e-17
2.303615977254943118e+03,2.399810930151303637e+03,0.000000000000000000e+00
2.399810930151303637e+03,2.496005883047663701e+03,1.336058336149427496e-16
2.496005883047663701e+03,2.592200835944024220e+03,1.735698453601182083e-17
2.592200835944024220e+03,2.688395788840384284e+03,0.000000000000000000e+00
2.688395788840384284e+03,2.784590741736744803e+03,0.000000000000000000e+00
2.784590741736744803e+03,2.880785694633104868e+03,0.000000000000000000e+00
2.880785694633104868e+03,2.976980647529465386e+03,1.481361105515550158e-16
2.976980647529465386e+03,3.073175600425825451e+03,1.119326962647492181e-18
3.073175600425825451e+03,3.169370553322185515e+03,0.000000000000000000e+00
3.169370553322185515e+03,3.265565506218546034e+03,0.000000000000000000e+00
3.265565506218546034e+03,3.361760459114906553e+03,3.763057635047680860e-17
3.361760459114906553e+03,3.457955412011266617e+03,3.808839553633234152e-17
3.457955412011266617e+03,3.554150364907626681e+03,4.438915610891663639e-17
3.554150364907626681e+03,3.650345317803987200e+03,8.461981712954055600e-17
3.650345317803987200e+03,3.746540270700347719e+03,6.728347048995771606e-05
3.746540270700347719e+03,3.842735223596707783e+03,3.698809300659594177e-04
3.842735223596707783e+03,3.938930176493067847e+03,8.330234157959434758e-04
3.938930176493067847e+03,4.035125129389428366e+03,1.315542277984773061e-03
4.035125129389428366e+03,4.131320082285788885e+03,1.785617189928796625e-03
4.131320082285788885e+03,4.227515035182148495e+03,2.393983892296449537e-03
4.227515035182148495e+03,4.323709988078509014e+03,3.358369794624698878e-03
4.323709988078509014e+03,4.419904940974869533e+03,4.680751641012960949e-03
4.419904940974869533e+03,4.516099893871229142e+03,6.356535571755020896e-03
4.516099893871229142e+03,4.612294846767590570e+03,8.453023195789062527e-03
4.612294846767590570e+03,4.708489799663950180e+03,1.110112129717943930e-02
4.708489799663950180e+03,4.804684752560310699e+03,1.429202847810152020e-02
4.804684752560310699e+03,4.900879705456671218e+03,1.788127228973390714e-02
4.900879705456671218e+03,4.997074658353030827e+03,2.165818040621735399e-02
4.997074658353030827e+03,5.093269611249391346e+03,2.542342308981194315e-02
5.093269611249391346e+03,5.189464564145751865e+03,2.895271665618326384e-02
5.189464564145751865e+03,5.285659517042111474e+03,3.213756263235122840e-02
5.285659517042111474e+03,5.381854469938471993e+03,3.510104149810320401e-02
5.381854469938471993e+03,5.478049422834832512e+03,3.796843151336604799e-02
5.478049422834832512e+03,5.574244375731192122e+03,4.075338928928011473e-02
5.574244375731192122e+03,5.670439328627553550e+03,4.313757162653036187e-02
5.670439328627553550e+03,5.766634281523913160e+03,4.471950593589816420e-02
5.766634281523913160e+03,5.862829234420273679e+03,4.536513195065103310e-02
5.862829234420273679e+03,5.959024187316634197e+03,4.534091054707434232e-02
5.959024187316634197e+03,6.055219140212993807e+03,4.494289167229394144e-02
6.055219140212993807e+03,6.151414093109354326e+03,4.419479186348938826e-02
6.151414093109354326e+03,6.247609046005714845e+03,4.305027978638815978e-02
6.247609046005714845e+03,6.343803998902075364e+03,4.149869628188355974e-02
6.343803998902075364e+03,6.439998951798434973e+03,3.954514256469034150e-02
6.439998951798434973e+03,6.536193904694795492e+03,3.703811135329013182e-02
6.536193904694795492e+03,6.632388857591156011e+03,3.392168951387369152e-02
6.632388857591156011e+03,6.728583810487515620e+03,3.045207326510331394e-02
6.728583810487515620e+03,6.824778763383876139e+03,2.698162954407023681e-02
6.824778763383876139e+03,6.920973716280236658e+03,2.388173986673985255e-02
6.920973716280236658e+03,7.017168669176597177e+03,2.148300889036024522e-02
7.017168669176597177e+03,7.113363622072956787e+03,1.967550017924245276e-02
7.113363622072956787e+03,7.209558574969317306e+03,1.794263088160856154e-02
7.209558574969317306e+03,7.305753527865677825e+03,1.596254360618480292e-02
7.305753527865677825e+03,7.401948480762038344e+03,1.379533405618494149e-02
7.401948480762038344e+03,7.498143433658397953e+03,1.178709954872357232e-02
7.498143433658397953e+03,7.594338386554758472e+03,1.021265613355713808e-02
7.594338386554758472e+03,7.690533339451118991e+03,8.924800019474007570e-03
7.690533339451118991e+03,7.786728292347479510e+03,7.644887812420549621e-03
7.786728292347479510e+03,7.882923245243839119e+03,6.309119669746504101e-03
7.882923245243839119e+03,7.979118198140199638e+03,5.131066798683772863e-03
7.979118198140199638e+03,8.075313151036560157e+03,4.283535413614265874e-03
8.075313151036560157e+03,8.171508103932919767e+03,3.617892225635066343e-03
8.171508103932919767e+03,8.267703056829279376e+03,2.917795472300473841e-03
8.267703056829279376e+03,8.363898009725640804e+03,2.195390319015603619e-03
8.363898009725640804e+03,8.460092962622002233e+03,1.743940870448309165e-03
8.460092962622002233e+03,8.556287915518361842e+03,1.620994125549873616e-03
8.556287915518361842e+03,8.652482868414721452e+03,1.619449582788347547e-03
8.652482868414721452e+03,8.748677821311081061e+03,1.467095083177651690e-03
8.748677821311081061e+03,8.844872774207442490e+03,1.130030953056563323e-03
8.844872774207442490e+03,8.941067727103802099e+03,7.202869272168008381e-04
8.941067727103802099e+03,9.037262680000163527e+03,3.603308999680836320e-04
9.037262680000163527e+03,9.133457632896523137e+03,1.186620188551003931e-04
9.133457632896523137e+03,9.229652585792882746e+03,1.067758509263267493e-05
9.229652585792882746e+03,9.325847538689242356e+03,4.126577512487005098e-18
9.325847538689242356e+03,9.422042491585603784e+03,1.555354908175101344e-17
9.422042491585603784e+03,9.518237444481965213e+03,1.650859681518067978e-17
9.518237444481965213e+03,9.614432397378324822e+03,3.575182494901484699e-17
9.614432397378324822e+03,9.710627350274684431e+03,1.230446484634918234e-17
9.710627350274684431e+03,9.806822303171044041e+03,7.096503424926783703e-18
9.806822303171044041e+03,9.903017256067405469e+03,0.000000000000000000e+00
9.903017256067405469e+03,9.999212208963765079e+03,7.224758186315365275e-19
9.999212208963765079e+03,1.009540716186012651e+04,2.095818168446404368e-17
1.009540716186012651e+04,1.019160211475648612e+04,0.000000000000000000e+00
1.019160211475648612e+04,1.028779706765284573e+04,0.000000000000000000e+00
1.028779706765284573e+04,1.038399202054920715e+04,6.484294159794915626e-19
1.038399202054920715e+04,1.048018697344556676e+04,0.000000000000000000e+00
1.048018697344556676e+04,1.057638192634192637e+04,0.000000000000000000e+00
1.057638192634192637e+04,1.067257687923828780e+04,0.000000000000000000e+00
1.067257687923828780e+04,1.076877183213464741e+04,0.000000000000000000e+00
1.076877183213464741e+04,1.086496678503100884e+04,0.000000000000000000e+00
1.086496678503100884e+04,1.096116173792736845e+04,0.000000000000000000e+00
1.096116173792736845e+04,1.105735669082372806e+04,4.761916398743662808e-19
1.105735669082372806e+04,1.115355164372008949e+04,8.695816722764022859e-18
