terminal_level,known_density,fitted_density
1.822641212773141888e+03,5.149354442066713200e-19,1.945086874749604802e-19
1.823218382490520071e+03,5.245936672977294190e-19,1.945086874749604802e-19
1.823795552207898254e+03,5.344272209978802134e-19,1.945086874749604802e-19
1.824372721925276437e+03,5.444391802978517960e-19,1.945086874749604802e-19
1.824949891642654620e+03,5.546326721826708051e-19,1.945086874749604802e-19
1.825527061360032803e+03,5.650108764772342631e-19,1.945086874749604802e-19
1.826104231077410759e+03,5.755770267050969534e-19,1.945086874749604802e-19
1.826681400794788942e+03,5.863344109606191660e-19,1.945086874749604802e-19
1.827258570512167125e+03,5.972863727947219087e-19,1.945086874749604802e-19
1.827835740229545308e+03,6.084363121144644211e-19,1.945086874749604802e-19
1.828412909946923492e+03,6.197876860964985915e-19,1.945086874749604802e-19
1.828990079664301675e+03,6.313440101148794487e-19,1.945086874749604802e-19
1.829567249381679858e+03,6.431088586831584455e-19,1.945086874749604802e-19
1.830144419099058041e+03,6.550858664112174265e-19,1.945086874749604802e-19
1.830721588816436224e+03,6.672787289768094765e-19,1.945086874749604802e-19
1.831298758533814407e+03,6.796912041122942985e-19,1.945086874749604802e-19
1.831875928251192363e+03,6.923271126066187705e-19,1.945086874749604802e-19
1.832453097968570546e+03,7.051903393227439430e-19,1.945086874749604802e-19
1.833030267685948729e+03,7.182848342309064536e-19,1.945086874749604802e-19
1.833607437403326912e+03,7.316146134578597685e-19,1.945086874749604802e-19
1.834184607120705095e+03,7.451837603521934717e-19,1.945086874749604802e-19
1.834761776838083279e+03,7.589964265663029895e-19,1.945086874749604802e-19
1.835338946555461462e+03,7.730568331548770525e-19,1.945086874749604802e-19
1.835916116272839645e+03,7.873692716904467791e-19,1.945086874749604802e-19
1.836493285990217828e+03,8.019381053960241125e-19,1.945086874749604802e-19
1.837070455707596011e+03,8.167677702953006949e-19,1.945086874749604802e-19
1.837647625424974194e+03,8.318627763804334671e-19,1.945086874749604802e-19
1.838224795142352150e+03,8.472277087978653500e-19,1.945086874749604802e-19
1.838801964859730333e+03,8.628672290523396084e-19,1.945086874749604802e-19
1.839379134577108516e+03,8.787860762294344394e-19,1.945086874749604802e-19
1.839956304294486699e+03,8.949890682367366136e-19,1.945086874749604802e-19
1.840533474011864882e+03,9.114811030643222755e-19,1.945086874749604802e-19
1.841110643729243066e+03,9.282671600642216355e-19,1.945086874749604802e-19
1.841687813446621249e+03,9.453523012497685029e-19,1.945086874749604802e-19
1.842264983163999432e+03,9.627416726146745199e-19,1.945086874749604802e-19
1.842842152881377615e+03,9.804405054722582523e-19,1.945086874749604802e-19
1.843419322598755798e+03,9.984541178153345007e-19,1.945086874749604802e-19
1.843996492316133981e+03,1.016787915696706248e-18,1.945086874749604802e-19
1.844573662033511937e+03,1.035447394630714145e-18,1.945086874749604802e-19
1.845150831750890120e+03,1.054438141016326757e-18,1.945086874749604802e-19
1.845728001468268303e+03,1.073765833581722065e-18,1.945086874749604802e-19
1.846305171185646486e+03,1.093436244851154480e-18,1.945086874749604802e-19
1.846882340903024669e+03,1.113455242633789020e-18,1.945086874749604802e-19
1.847459510620402853e+03,1.133828791535513172e-18,1.945086874749604802e-19
1.848036680337781036e+03,1.154562954493546762e-18,1.945086874749604802e-19
1.848613850055159219e+03,1.175663894334449756e-18,1.945086874749604802e-19
1.849191019772537402e+03,1.197137875355756785e-18,1.945086874749604802e-19
1.849768189489915585e+03,1.218991264931610116e-18,1.945086874749604802e-19
1.850345359207293541e+03,1.241230535142709018e-18,1.945086874749604802e-19
1.850922528924671724e+03,1.263862264431103054e-18,1.945086874749604802e-19
1.851499698642049907e+03,1.286893139279756488e-18,1.945086874749604802e-19
1.852076868359428090e+03,1.310329955917897624e-18,1.945086874749604802e-19
1.852654038076806273e+03,1.334179622051809865e-18,1.945086874749604802e-19
1.853231207794184456e+03,1.358449158621993577e-18,1.945086874749604802e-19
1.853808377511562639e+03,1.383145701586824115e-18,1.945086874749604802e-19
1.854385547228940823e+03,1.408276503733032865e-18,1.945086874749604802e-19
1.854962716946319006e+03,1.433848936513755080e-18,1.945086874749604802e-19
1.855539886663697189e+03,1.459870491913781084e-18,1.945086874749604802e-19
1.856117056381075372e+03,1.486348784343502496e-18,1.945086874749604802e-19
1.856694226098453328e+03,1.513291552560924449e-18,1.945086874749604802e-19
1.857271395815831511e+03,1.540706661622794586e-18,1.945086874749604802e-19
1.857848565533209694e+03,1.568602104864940535e-18,1.945086874749604802e-19
1.858425735250587877e+03,1.596986005912486439e-18,1.945086874749604802e-19
1.859002904967966060e+03,1.625866620720192384e-18,1.945086874749604802e-19
1.859580074685344243e+03,1.655252339643234882e-18,1.945086874749604802e-19
1.860157244402722426e+03,1.685151689539333215e-18,1.945086874749604802e-19
1.860734414120100610e+03,1.715573335902181766e-18,1.945086874749604802e-19
1.861311583837478793e+03,1.746526085026730110e-18,1.945086874749604802e-19
1.861888753554856976e+03,1.778018886207170009e-18,1.945086874749604802e-19
1.862465923272235159e+03,1.810060833967430191e-18,1.945086874749604802e-19
1.863043092989613115e+03,1.842661170325159767e-18,1.945086874749604802e-19
1.863620262706991298e+03,1.875829287089733395e-18,1.945086874749604802e-19
1.864197432424369481e+03,1.909574728193936148e-18,1.945086874749604802e-19
1.864774602141747664e+03,1.943907192061170615e-18,1.945086874749604802e-19
1.865351771859125847e+03,1.978836534007271036e-18,1.945086874749604802e-19
1.865928941576504030e+03,2.014372768678632394e-18,1.945086874749604802e-19
1.866506111293882213e+03,2.050526072526151394e-18,1.945086874749604802e-19
1.867083281011260397e+03,2.087306786316200387e-18,1.945086874749604802e-19
1.867660450728638580e+03,2.124725417679018256e-18,1.945086874749604802e-19
1.868237620446016763e+03,2.162792643694710095e-18,1.945086874749604802e-19
1.868814790163394719e+03,2.201519313517591764e-18,1.945086874749604802e-19
1.869391959880772902e+03,2.240916451039865789e-18,1.945086874749604802e-19
1.869969129598151085e+03,2.280995257594286940e-18,1.945086874749604802e-19
1.870546299315529268e+03,2.321767114697161408e-18,1.945086874749604802e-19
1.871123469032907451e+03,2.363243586831638746e-18,1.945086874749604802e-19
1.871700638750285634e+03,2.405436424272733318e-18,1.945086874749604802e-19
1.872277808467663817e+03,2.448357565953448174e-18,1.945086874749604802e-19
1.872854978185042000e+03,2.492019142373663819e-18,1.945086874749604802e-19
1.873432147902420184e+03,2.536433478551819215e-18,1.945086874749604802e-19
1.874009317619798367e+03,2.581613097020065641e-18,1.945086874749604802e-19
1.874586487337176550e+03,2.627570720863772420e-18,1.945086874749604802e-19
1.875163657054554506e+03,2.674319276805528164e-18,1.945086874749604802e-19
1.875740826771932689e+03,2.721871898335073913e-18,1.945086874749604802e-19
1.876317996489310872e+03,2.770241928884394321e-18,1.945086874749604802e-19
1.876895166206689055e+03,2.819442925050236414e-18,1.945086874749604802e-19
1.877472335924067238e+03,2.869488659863972705e-18,1.945086874749604802e-19
1.878049505641445421e+03,2.920393126108940798e-18,1.945086874749604802e-19
1.878626675358823604e+03,2.972170539686805996e-18,1.945086874749604802e-19
1.879203845076201787e+03,3.024835343033382181e-18,1.945086874749604802e-19
1.879781014793579971e+03,3.078402208584191749e-18,1.945086874749604802e-19
1.880358184510958154e+03,3.132886042291041131e-18,1.945086874749604802e-19
1.880935354228336109e+03,3.188301987189853776e-18,1.945086874749604802e-19
1.881512523945714292e+03,3.244665427020915391e-18,1.945086874749604802e-19
1.882089693663092476e+03,3.301991989901710942e-18,1.945086874749604802e-19
1.882666863380470659e+03,3.360297552053711184e-18,1.945086874749604802e-19
1.883244033097848842e+03,3.419598241583274741e-18,1.945086874749604802e-19
1.883821202815227025e+03,3.479910442317903340e-18,1.945086874749604802e-19
1.884398372532605208e+03,3.541250797698354025e-18,1.945086874749604802e-19
1.884975542249983391e+03,3.603636214727302055e-18,1.945086874749604802e-19
1.885552711967361574e+03,3.667083867975508235e-18,1.945086874749604802e-19
1.886129881684739757e+03,3.731611203646652367e-18,1.945086874749604802e-19
1.886707051402117941e+03,3.797235943700572851e-18,1.945086874749604802e-19
1.887284221119495896e+03,3.863976090036896506e-18,1.945086874749604802e-19
1.887861390836874079e+03,3.931849928739431490e-18,1.945086874749604802e-19
1.888438560554252263e+03,4.000876034381549792e-18,1.945086874749604802e-19
1.889015730271630446e+03,4.071073274394648553e-18,1.945086874749604802e-19
1.889592899989008629e+03,4.142460813499644767e-18,1.945086874749604802e-19
1.890170069706386812e+03,4.215058118202506376e-18,1.945086874749604802e-19
1.890747239423764995e+03,4.288884961354919863e-18,1.945086874749604802e-19
1.891324409141143178e+03,4.363961426781122779e-18,1.945086874749604802e-19
1.891901578858521361e+03,4.440307913971045268e-18,1.945086874749604802e-19
1.892478748575899544e+03,4.517945142841541691e-18,1.945086874749604802e-19
1.893055918293277500e+03,4.596894158566574392e-18,1.945086874749604802e-19
1.893633088010655683e+03,4.677176336476871922e-18,1.945086874749604802e-19
1.894210257728033866e+03,4.758813387029496209e-18,1.945086874749604802e-19
1.894787427445412050e+03,4.841827360850001107e-18,1.945086874749604802e-19
1.895364597162790233e+03,4.926240653846845672e-18,1.945086874749604802e-19
1.895941766880168416e+03,5.012076012398911894e-18,1.945086874749604802e-19
1.896518936597546599e+03,5.099356538617964981e-18,1.945086874749604802e-19
1.897096106314924782e+03,5.188105695686626270e-18,1.945086874749604802e-19
1.897673276032302965e+03,5.278347313273189209e-18,1.945086874749604802e-19
1.898250445749681148e+03,5.370105593023313838e-18,1.945086874749604802e-19
1.898827615467059331e+03,5.463405114131538740e-18,1.945086874749604802e-19
1.899404785184437287e+03,5.558270838991554282e-18,1.945086874749604802e-19
1.899981954901815470e+03,5.654728118928220797e-18,1.945086874749604802e-19
1.900559124619193653e+03,5.752802700010642222e-18,1.945086874749604802e-19
1.901136294336571837e+03,5.852520728949566970e-18,1.945086874749604802e-19
1.901713464053950020e+03,5.953908759077666183e-18,1.945086874749604802e-19
1.902290633771328203e+03,6.056993756416356346e-18,1.945086874749604802e-19
1.902867803488706386e+03,6.161803105828181725e-18,1.945086874749604802e-19
1.903444973206084569e+03,6.268364617257608543e-18,1.945086874749604802e-19
1.904022142923462752e+03,6.376706532060845657e-18,1.945086874749604802e-19
1.904599312640840935e+03,6.486857529424805736e-18,1.945086874749604802e-19
1.905176482358218891e+03,6.598846732878445613e-18,1.945086874749604802e-19
1.905753652075597074e+03,6.712703716896173772e-18,1.945086874749604802e-19
1.906330821792975257e+03,6.828458513594952033e-18,1.945086874749604802e-19
1.906907991510353440e+03,6.946141619527192979e-18,1.945086874749604802e-19
1.907485161227731624e+03,7.065784002569259783e-18,1.945086874749604802e-19
1.908062330945109807e+03,7.187417108907770148e-18,1.945086874749604802e-19
1.908639500662487990e+03,7.311072870125755863e-18,1.945086874749604802e-19
1.909216670379866173e+03,7.436783710387534742e-18,1.945086874749604802e-19
1.909793840097244356e+03,7.564582553727109000e-18,1.945086874749604802e-19
1.910371009814622539e+03,7.694502831438260439e-18,1.945086874749604802e-19
1.910948179532000722e+03,7.826578489569906172e-18,1.945086874749604802e-19
1.911525349249378905e+03,7.960843996526753418e-18,1.945086874749604802e-19
1.912102518966756861e+03,8.097334350777348769e-18,1.945086874749604802e-19
1.912679688684135044e+03,8.236085088671749851e-18,1.945086874749604802e-19
1.913256858401513227e+03,8.377132292367569829e-18,1.945086874749604802e-19
1.913834028118891410e+03,8.520512597869328228e-18,1.945086874749604802e-19
1.914411197836269594e+03,8.666263203180456329e-18,1.945086874749604802e-19
1.914988367553647777e+03,8.814421876569510204e-18,1.945086874749604802e-19
1.915565537271025960e+03,8.965026964952905605e-18,1.945086874749604802e-19
1.916142706988404143e+03,9.118117402395963488e-18,1.945086874749604802e-19
1.916719876705782326e+03,9.273732718732668332e-18,1.945086874749604802e-19
1.917297046423160509e+03,9.431913048305954219e-18,1.945086874749604802e-19
1.917874216140538465e+03,9.592699138831421466e-18,1.945086874749604802e-19
1.918451385857916648e+03,9.756132360385859677e-18,1.945086874749604802e-19
1.919028555575294831e+03,9.922254714518437120e-18,3.642762591860887477e-19
1.919605725292673014e+03,1.009110884349386254e-17,3.642762591860887477e-19
1.920182895010051197e+03,1.026273803966154898e-17,3.642762591860887477e-19
1.920760064727429381e+03,1.043718625495614458e-17,3.642762591860887477e-19
1.921337234444807564e+03,1.061449811053249936e-17,3.642762591860887477e-19
1.921914404162185747e+03,1.079471890653309601e-17,3.642762591860887477e-19
1.922491573879563930e+03,1.097789463199215846e-17,3.642762591860887477e-19
1.923068743596942113e+03,1.116407197487965236e-17,3.642762591860887477e-19
1.923645913314320296e+03,1.135329833228105125e-17,3.642762591860887477e-19
1.924223083031698252e+03,1.154562182072391102e-17,3.642762591860887477e-19
1.924800252749076435e+03,1.174109128664446404e-17,3.642762591860887477e-19
1.925377422466454618e+03,1.193975631699964418e-17,3.642762591860887477e-19
1.925954592183832801e+03,1.214166725003016630e-17,3.642762591860887477e-19
1.926531761901210984e+03,1.234687518616772855e-17,3.642762591860887477e-19
1.927108931618589168e+03,1.255543199909773727e-17,3.642762591860887477e-19
1.927686101335967351e+03,1.276739034697452711e-17,3.642762591860887477e-19
1.928263271053345534e+03,1.298280368378894062e-17,3.642762591860887477e-19
1.928840440770723717e+03,1.320172627089880770e-17,3.642762591860887477e-19
1.929417610488101900e+03,1.342421318871266122e-17,3.642762591860887477e-19
1.929994780205479856e+03,1.365032034854010875e-17,3.642762591860887477e-19
1.930571949922858039e+03,1.388010450460433991e-17,3.642762591860887477e-19
1.931149119640236222e+03,1.411362326621786468e-17,3.642762591860887477e-19
1.931726289357614405e+03,1.435093511013067339e-17,3.642762591860887477e-19
1.932303459074992588e+03,1.459209939304520059e-17,3.642762591860887477e-19
1.932880628792370771e+03,1.483717636430588772e-17,3.642762591860887477e-19
1.933457798509748955e+03,1.508622717876166180e-17,3.642762591860887477e-19
1.934034968227127138e+03,1.533931390980762432e-17,3.642762591860887477e-19
1.934612137944505321e+03,1.559649956260377151e-17,3.642762591860887477e-19
1.935189307661883504e+03,1.585784808747673046e-17,3.642762591860887477e-19
1.935766477379261687e+03,1.612342439350544760e-17,3.642762591860887477e-19
1.936343647096639643e+03,1.639329436229355692e-17,3.642762591860887477e-19
1.936920816814017826e+03,1.666752486192961104e-17,3.642762591860887477e-19
1.937497986531396009e+03,1.694618376113917498e-17,3.642762591860887477e-19
1.938075156248774192e+03,1.722933994363182710e-17,3.642762591860887477e-19
1.938652325966152375e+03,1.751706332264250030e-17,3.642762591860887477e-19
1.939229495683530558e+03,1.780942485567456812e-17,3.642762591860887477e-19
1.939806665400908742e+03,1.810649655944022941e-17,3.642762591860887477e-19
1.940383835118286925e+03,1.840835152500978383e-17,3.642762591860887477e-19
1.940961004835665108e+03,1.871506393316494208e-17,3.642762591860887477e-19
1.941538174553043291e+03,1.902670906996083588e-17,3.642762591860887477e-19
1.942115344270421247e+03,1.934336334250307282e-17,3.642762591860887477e-19
1.942692513987799430e+03,1.966510429493827660e-17,3.642762591860887477e-19
1.943269683705177613e+03,1.999201062466044240e-17,3.642762591860887477e-19
1.943846853422555796e+03,2.032416219874153207e-17,3.642762591860887477e-19
