root,expiry,raw_rows,price_screen_pass,paired_strikes,minimum_strike,maximum_strike
SPX,2026-10-16,978,854,365,200.0,12400.0
SPX,2026-11-20,866,831,398,400.0,10600.0
SPX,2026-12-18,844,806,384,200.0,13400.0
SPX,2027-01-15,486,463,220,200.0,11400.0
SPX,2027-02-19,458,437,208,200.0,12000.0
SPX,2027-03-19,456,440,212,200.0,11800.0
SPX,2027-04-16,446,439,216,200.0,10000.0
SPX,2027-05-21,438,425,206,200.0,12000.0
SPX,2027-06-17,480,473,233,200.0,11400.0
SPX,2027-07-16,408,399,195,2000.0,13200.0
SPX,2027-08-20,404,397,195,2000.0,13200.0
SPX,2027-09-17,420,416,206,400.0,12000.0
SPX,2027-10-15,396,389,191,3100.0,13200.0
SPX,2027-12-17,290,285,140,400.0,12000.0
SPX,2028-01-21,396,392,194,3100.0,13200.0
SPX,2028-06-16,398,398,199,3100.0,13200.0
SPX,2028-12-15,270,266,131,400.0,14000.0
SPX,2029-12-21,182,172,81,400.0,15000.0
SPX,2030-12-20,188,92,0,400.0,17000.0
SPX,2031-12-19,70,41,6,2000.0,20000.0
SPXW,2026-09-21,488,341,97,3200.0,10000.0
SPXW,2026-09-22,488,379,135,3200.0,10000.0
SPXW,2026-09-23,488,405,161,3200.0,10000.0
SPXW,2026-09-24,462,395,164,3200.0,10000.0
SPXW,2026-09-25,610,509,204,3200.0,10000.0
SPXW,2026-09-28,420,369,159,3200.0,10000.0
SPXW,2026-09-29,420,376,166,3200.0,10000.0
SPXW,2026-09-30,1198,936,337,2600.0,10000.0
SPXW,2026-10-01,394,356,159,3200.0,10000.0
SPXW,2026-10-02,528,485,221,3200.0,10000.0
SPXW,2026-10-05,366,333,150,3200.0,10000.0
SPXW,2026-10-06,362,329,148,3200.0,10000.0
SPXW,2026-10-07,362,332,151,3200.0,10000.0
SPXW,2026-10-08,336,307,139,3200.0,10000.0
SPXW,2026-10-09,444,413,191,3000.0,10000.0
SPXW,2026-10-12,282,261,120,3200.0,9800.0
SPXW,2026-10-13,282,261,120,3200.0,9800.0
SPXW,2026-10-14,286,264,121,3200.0,10000.0
SPXW,2026-10-15,270,251,116,3200.0,10000.0
SPXW,2026-10-16,818,773,364,3000.0,10800.0
SPXW,2026-10-19,244,227,105,3200.0,9800.0
SPXW,2026-10-20,244,226,104,3200.0,9800.0
SPXW,2026-10-21,244,226,104,3200.0,9800.0
SPXW,2026-10-22,226,210,97,3200.0,9800.0
SPXW,2026-10-23,344,326,154,2800.0,9800.0
SPXW,2026-10-26,148,132,58,3200.0,9800.0
SPXW,2026-10-27,144,130,58,3200.0,9800.0
SPXW,2026-10-30,970,950,465,3000.0,10000.0
SPXW,2026-11-03,178,162,73,3200.0,10000.0
SPXW,2026-11-04,184,167,75,3200.0,10000.0
SPXW,2026-11-06,246,232,109,3200.0,9800.0
SPXW,2026-11-20,718,702,343,3200.0,10800.0
SPXW,2026-11-30,964,956,474,3200.0,10000.0
SPXW,2026-12-18,532,526,260,3200.0,10400.0
SPXW,2026-12-31,1118,1115,556,2600.0,9600.0
SPXW,2027-01-15,282,276,135,3200.0,10800.0
SPXW,2027-01-29,412,411,205,3000.0,10000.0
SPXW,2027-02-19,268,264,130,3200.0,10600.0
SPXW,2027-02-26,326,326,163,3200.0,9800.0
SPXW,2027-03-31,980,980,490,2800.0,9600.0
SPXW,2027-06-30,832,832,416,3000.0,9600.0
