horizon_days,left_edge,right_edge,legacy_mass,control_mass,joint_mass
3.000000000000000000e+01,1.803702432703507156e+03,1.898897838873969931e+03,8.223660969162082876e-05,8.229446236557213449e-05,-7.249451995684723464e-13
3.000000000000000000e+01,1.898897838873969931e+03,1.994093245044432933e+03,5.038744035135677546e-05,5.043465028746977875e-05,-4.622095242758604594e-13
3.000000000000000000e+01,1.994093245044432933e+03,2.089288651214895708e+03,2.329390524755856650e-05,2.320347675474814187e-05,-1.337310102278604495e-13
3.000000000000000000e+01,2.089288651214895708e+03,2.184484057385358938e+03,5.865815682026385657e-06,5.810672452459559134e-06,1.066740381248683069e-12
3.000000000000000000e+01,2.184484057385358938e+03,2.279679463555821712e+03,1.026763236192359580e-19,-4.903834199941463763e-12,2.514371106035412619e-13
3.000000000000000000e+01,2.279679463555821712e+03,2.374874869726284487e+03,1.260372052714973294e-17,1.677111958382980961e-12,-4.722358896277667912e-13
3.000000000000000000e+01,2.374874869726284487e+03,2.470070275896747262e+03,0.000000000000000000e+00,-3.396212962106436733e-13,1.230810723789690065e-13
3.000000000000000000e+01,2.470070275896747262e+03,2.565265682067210037e+03,5.582139698681008170e-18,-3.190280719465945948e-13,-2.664749936643177700e-13
3.000000000000000000e+01,2.565265682067210037e+03,2.660461088237673266e+03,2.372353194973314826e-18,3.676375285143599560e-13,-1.519638216325051177e-13
3.000000000000000000e+01,2.660461088237673266e+03,2.755656494408136041e+03,7.194828362142662185e-18,1.721488786435479969e-14,4.527451062333915287e-13
3.000000000000000000e+01,2.755656494408136041e+03,2.850851900578598816e+03,4.185873868669588885e-18,-1.139166295991337264e-13,7.112062430103835117e-13
3.000000000000000000e+01,2.850851900578598816e+03,2.946047306749061590e+03,5.702362838648098499e-18,-1.750560152377679831e-13,-5.752950428837501727e-14
3.000000000000000000e+01,2.946047306749061590e+03,3.041242712919524820e+03,0.000000000000000000e+00,5.151532444426809748e-14,-2.969899058050058869e-13
3.000000000000000000e+01,3.041242712919524820e+03,3.136438119089988049e+03,0.000000000000000000e+00,1.876040519648778737e-13,-6.255350559114503354e-13
3.000000000000000000e+01,3.136438119089988049e+03,3.231633525260450369e+03,3.351391100585944858e-18,2.311265530730689964e-13,3.755561514293125790e-13
3.000000000000000000e+01,3.231633525260450369e+03,3.326828931430913144e+03,9.191078788559703943e-18,6.825479043099401367e-15,2.204850462038131563e-13
3.000000000000000000e+01,3.326828931430913144e+03,3.422024337601375919e+03,0.000000000000000000e+00,-1.536880000516800889e-13,2.582136699895001749e-06
3.000000000000000000e+01,3.422024337601375919e+03,3.517219743771838694e+03,0.000000000000000000e+00,-3.473306302023662689e-13,1.439814825198007732e-05
3.000000000000000000e+01,3.517219743771838694e+03,3.612415149942301923e+03,3.162069585135834663e-19,6.683089538249659074e-14,3.443834480727219643e-05
3.000000000000000000e+01,3.612415149942301923e+03,3.707610556112765153e+03,0.000000000000000000e+00,3.538296473079892830e-13,5.684671006621789136e-05
3.000000000000000000e+01,3.707610556112765153e+03,3.802805962283227927e+03,0.000000000000000000e+00,4.558975590892857487e-13,7.373458288598087862e-05
3.000000000000000000e+01,3.802805962283227927e+03,3.898001368453691157e+03,0.000000000000000000e+00,3.606828457097788949e-13,7.799354530534032166e-05
3.000000000000000000e+01,3.898001368453691157e+03,3.993196774624153477e+03,0.000000000000000000e+00,3.310617633348178085e-13,6.610894373223561295e-05
3.000000000000000000e+01,3.993196774624153477e+03,4.088392180794615797e+03,0.000000000000000000e+00,2.500689753179391446e-13,4.097525310145782863e-05
3.000000000000000000e+01,4.088392180794615797e+03,4.183587586965079026e+03,0.000000000000000000e+00,8.573328219932335954e-14,1.445736527532493135e-05
3.000000000000000000e+01,4.183587586965079026e+03,4.278782993135541801e+03,0.000000000000000000e+00,-2.803910526514300438e-13,1.020521851617634850e-13
3.000000000000000000e+01,4.278782993135541801e+03,4.373978399306005485e+03,0.000000000000000000e+00,-6.028226787399458595e-13,-1.096018075009782893e-12
3.000000000000000000e+01,4.373978399306005485e+03,4.469173805476468260e+03,7.386103045078100198e-18,-6.396176578686546441e-13,-6.935280125957848675e-13
3.000000000000000000e+01,4.469173805476468260e+03,4.564369211646931035e+03,0.000000000000000000e+00,1.614286945892822089e-14,6.071377743415320256e-13
3.000000000000000000e+01,4.564369211646931035e+03,4.659564617817393810e+03,3.381042841755780997e-18,-2.571931951624073250e-13,8.041730955372804901e-13
3.000000000000000000e+01,4.659564617817393810e+03,4.754760023987856584e+03,0.000000000000000000e+00,-4.124405908743565292e-13,4.629950588175457203e-13
3.000000000000000000e+01,4.754760023987856584e+03,4.849955430158319359e+03,0.000000000000000000e+00,-3.887683873521064543e-12,-1.520375423279482112e-12
3.000000000000000000e+01,4.849955430158319359e+03,4.945150836328782134e+03,3.299068657207750531e-17,1.137810618482108480e-11,5.488587555092545459e-13
3.000000000000000000e+01,4.945150836328782134e+03,5.040346242499245818e+03,1.900028302148428785e-05,1.924869492094820450e-05,1.153357441130905905e-06
