horizon_days,left_edge,right_edge,probability_mass
3.000000000000000000e+01,1.803702432703507156e+03,1.898897838873970159e+03,8.223660969162082876e-05
3.000000000000000000e+01,1.898897838873970159e+03,1.994093245044432933e+03,5.038744035135677546e-05
3.000000000000000000e+01,1.994093245044432933e+03,2.089288651214895708e+03,2.329390524755856650e-05
3.000000000000000000e+01,2.089288651214895708e+03,2.184484057385358938e+03,5.865815682026385657e-06
3.000000000000000000e+01,2.184484057385358938e+03,2.279679463555821712e+03,1.026763236192359580e-19
3.000000000000000000e+01,2.279679463555821712e+03,2.374874869726284487e+03,1.260372052714973294e-17
3.000000000000000000e+01,2.374874869726284487e+03,2.470070275896747262e+03,0.000000000000000000e+00
3.000000000000000000e+01,2.470070275896747262e+03,2.565265682067210491e+03,5.582139698681008170e-18
3.000000000000000000e+01,2.565265682067210491e+03,2.660461088237673266e+03,2.372353194973314826e-18
3.000000000000000000e+01,2.660461088237673266e+03,2.755656494408136041e+03,7.194828362142662185e-18
3.000000000000000000e+01,2.755656494408136041e+03,2.850851900578599270e+03,4.185873868669588885e-18
3.000000000000000000e+01,2.850851900578599270e+03,2.946047306749062045e+03,5.702362838648098499e-18
3.000000000000000000e+01,2.946047306749062045e+03,3.041242712919524820e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.041242712919524820e+03,3.136438119089987595e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.136438119089987595e+03,3.231633525260450369e+03,3.351391100585944858e-18
3.000000000000000000e+01,3.231633525260450369e+03,3.326828931430913599e+03,9.191078788559703943e-18
3.000000000000000000e+01,3.326828931430913599e+03,3.422024337601376828e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.422024337601376828e+03,3.517219743771839603e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.517219743771839603e+03,3.612415149942302378e+03,3.162069585135834663e-19
3.000000000000000000e+01,3.612415149942302378e+03,3.707610556112765153e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.707610556112765153e+03,3.802805962283227927e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.802805962283227927e+03,3.898001368453690702e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.898001368453690702e+03,3.993196774624153477e+03,0.000000000000000000e+00
3.000000000000000000e+01,3.993196774624153477e+03,4.088392180794617161e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.088392180794617161e+03,4.183587586965079936e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.183587586965079936e+03,4.278782993135542711e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.278782993135542711e+03,4.373978399306005485e+03,0.000000000000000000e+00
3.000000000000000000e+01,4.373978399306005485e+03,4.469173805476468260e+03,7.386103045078100198e-18
3.000000000000000000e+01,4.469173805476468260e+03,4.564369211646931035e+03,0.000000000000000000e+00
