horizon_days,strike,known_price,added_noise,noisy_price
3.000000000000000000e+01,5.209421009514305297e+03,8.009258132755985571e+02,-1.586834732286213079e-02,8.009099449282756495e+02
3.000000000000000000e+01,5.231040932219041679e+03,7.795374544771593719e+02,1.350790805163293307e-02,7.795509623852110508e+02
3.000000000000000000e+01,5.252660854923778061e+03,7.581840213451287127e+02,-7.032545343436613638e-02,7.581136958916943058e+02
3.000000000000000000e+01,5.274280777628514443e+03,7.368718083943795136e+02,2.626087629644744403e-01,7.371344171573439326e+02
3.000000000000000000e+01,5.295900700333251734e+03,7.156079624375834101e+02,-1.302138051331972468e-01,7.154777486324502433e+02
3.000000000000000000e+01,5.317520623037987207e+03,6.944005441370363769e+02,-4.062171908817060473e-01,6.939943269461546151e+02
3.000000000000000000e+01,5.339140545742724498e+03,6.732585846187366769e+02,-4.932452574251695587e-01,6.727653393613114758e+02
3.000000000000000000e+01,5.360760468447460880e+03,6.521921353100096894e+02,1.513588317424466867e-01,6.523434941417521031e+02
3.000000000000000000e+01,5.382380391152197262e+03,6.312123090976583626e+02,-2.976017800890639053e-01,6.309147073175693095e+02
3.000000000000000000e+01,5.404000313856933644e+03,6.103313108892079981e+02,3.239585662163128044e-01,6.106552694554243317e+02
3.000000000000000000e+01,5.425620236561670026e+03,5.895624557009832643e+02,3.212945392355407437e-01,5.898837502402187738e+02
3.000000000000000000e+01,5.447240159266407318e+03,5.689201724981812731e+02,-2.202012162532211992e-01,5.686999712819280148e+02
3.000000000000000000e+01,5.468860081971143700e+03,5.484199921757335687e+02,-3.927228703364983309e-01,5.480272693053971125e+02
3.000000000000000000e+01,5.490480004675880082e+03,5.280785182948675356e+02,9.055150584553528503e-03,5.280875734454521080e+02
3.000000000000000000e+01,5.512099927380616464e+03,5.079133794766948995e+02,-3.592026505465450992e-02,5.078774592116402573e+02
3.000000000000000000e+01,5.533719850085353755e+03,4.879431626957020853e+02,-3.976505696317187422e-01,4.875455121260703777e+02
3.000000000000000000e+01,5.555339772790089228e+03,4.681873271059030230e+02,-4.037603998409232675e-01,4.677835667060621176e+02
3.000000000000000000e+01,5.576959695494826519e+03,4.486660984607797218e+02,-5.256355845280213934e-02,4.486135349023269328e+02
3.000000000000000000e+01,5.598579618199562901e+03,4.294003446436145168e+02,8.519327105699692204e-02,4.294855379146715109e+02
3.000000000000000000e+01,5.620199540904299283e+03,4.104114332941508110e+02,3.292434352291108146e-01,4.107406767293799135e+02
3.000000000000000000e+01,5.641819463609036575e+03,3.917210729864282257e+02,-9.601622384821750789e-02,3.916250567625800159e+02
3.000000000000000000e+01,5.663439386313772957e+03,3.733511398661239582e+02,-3.319930094848346780e-01,3.730191468566391109e+02
3.000000000000000000e+01,5.685059309018509339e+03,3.553234920787645024e+02,3.320978328574687444e-01,3.556555899116219734e+02
3.000000000000000000e+01,5.706679231723245721e+03,3.376597746984189143e+02,9.111943649151099667e-02,3.377508941349104248e+02
3.000000000000000000e+01,5.728299154427983012e+03,3.203812181865760067e+02,3.595655188145556735e-01,3.207407837053905837e+02
3.000000000000000000e+01,5.749919077132718485e+03,3.035084336613499545e+02,3.289048760063911780e-01,3.038373385373563451e+02
