terminal_index_level,recovered_density,exact_density
2.505000000000000000e+03,5.270288612657143071e-12,5.253696221285792605e-12
2.510000000000000000e+03,5.715665115135212068e-12,5.721171241163844106e-12
2.515000000000000000e+03,6.179598971883199867e-12,6.227950929770674985e-12
2.520000000000000000e+03,6.829106371330383754e-12,6.777140174308510167e-12
2.525000000000000000e+03,7.330154936618210770e-12,7.372072639026830833e-12
2.530000000000000000e+03,8.072449107414991894e-12,8.016326338665553563e-12
2.535000000000000000e+03,8.703399152592255365e-12,8.713740178382717640e-12
2.540000000000000000e+03,9.464250677658955290e-12,9.468431513781100356e-12
2.545000000000000000e+03,1.033644632834517287e-11,1.028481478721887170e-11
2.550000000000000000e+03,1.111585520768179321e-11,1.116762129926720721e-11
2.555000000000000000e+03,1.215506704679728484e-11,1.212192017694986686e-11
2.560000000000000000e+03,1.313860682310302008e-11,1.315314060328561610e-11
2.565000000000000000e+03,1.427060543356811218e-11,1.426709537564279751e-11
2.570000000000000000e+03,1.549539081538279990e-11,1.547000586351847811e-11
2.575000000000000000e+03,1.679440561427716444e-11,1.676852843956752638e-11
2.580000000000000000e+03,1.816764983025121065e-11,1.816978246104249843e-11
2.585000000000000000e+03,1.968935288038461050e-11,1.968137988225195324e-11
2.590000000000000000e+03,2.128528534759769202e-11,2.131145658221830134e-11
2.595000000000000000e+03,2.310390606604980238e-11,2.306870549541549038e-11
2.600000000000000000e+03,2.499675620158159441e-11,2.496241163728506571e-11
2.605000000000000000e+03,2.701950781700282127e-11,2.700248912018729385e-11
2.610000000000000000e+03,2.919071826658340501e-11,2.919952025952473848e-11
2.615000000000000000e+03,3.154750225886318322e-11,3.156479687399609634e-11
2.620000000000000000e+03,3.421976127373159397e-11,3.411036388829744199e-11
2.625000000000000000e+03,3.678067616298048546e-11,3.684906535107452616e-11
2.630000000000000000e+03,3.984263961751721042e-11,3.979459298557721511e-11
2.635000000000000000e+03,4.297883248913361059e-11,4.296153739523796164e-11
2.640000000000000000e+03,4.637482832052888043e-11,4.636544205133045656e-11
2.645000000000000000e+03,5.008629917451278282e-11,5.002286019493158215e-11
2.650000000000000000e+03,5.392767150838612328e-11,5.395141479063837147e-11
2.655000000000000000e+03,5.823297769900745961e-11,5.816986167486963146e-11
2.660000000000000000e+03,6.268674272378813989e-11,6.269815604710395104e-11
2.665000000000000000e+03,6.760444160531680313e-11,6.755752245809787211e-11
2.670000000000000000e+03,7.280050080089427422e-11,7.277052845497168913e-11
2.675000000000000000e+03,7.844193649894980947e-11,7.836116204903746395e-11
2.680000000000000000e+03,8.436173251105413966e-11,8.435491317842412211e-11
2.685000000000000000e+03,9.076401973417637160e-11,9.077885934385381340e-11
2.690000000000000000e+03,9.776014229393604396e-11,9.766175560242524908e-11
2.695000000000000000e+03,1.050717398762843230e-10,1.050341291108906539e-10
2.700000000000000000e+03,1.129586154410001237e-10,1.129283784167302826e-10
2.705000000000000000e+03,1.214393263423533389e-10,1.213788777022923568e-10
2.710000000000000000e+03,1.304582005175342122e-10,1.304220861944227568e-10
2.715000000000000000e+03,1.401822541549720517e-10,1.400966629592715450e-10
2.720000000000000000e+03,1.504444710662375494e-10,1.504435873094752368e-10
2.725000000000000000e+03,1.616345556909990130e-10,1.615062850585095487e-10
2.730000000000000000e+03,1.733813609438580664e-10,1.733307608648065610e-10
2.735000000000000000e+03,1.860374765559431799e-10,1.859657369161912428e-10
2.740000000000000000e+03,1.994915584016348664e-10,1.994627982133177064e-10
2.745000000000000000e+03,2.140219667949818434e-10,2.138765447190313075e-10
2.750000000000000000e+03,2.293503414219353677e-10,2.292647506490615176e-10
2.755000000000000000e+03,2.457364852422743023e-10,2.456885311880046780e-10
2.760000000000000000e+03,2.633474144444279037e-10,2.632125169233340449e-10
2.765000000000000000e+03,2.819789981314271038e-10,2.819050362990586358e-10
2.770000000000000000e+03,3.019652686801304151e-10,3.018383063997273855e-10
2.775000000000000000e+03,3.231948819649183507e-10,3.230886323846289596e-10
2.780000000000000000e+03,3.458719688827600304e-10,3.457366159014405491e-10
2.785000000000000000e+03,3.699965294336553507e-10,3.698673728180280592e-10
2.790000000000000000e+03,3.956799077432240053e-10,3.955707606207236048e-10
2.795000000000000000e+03,4.231262347084350107e-10,4.229416158371757434e-10
2.800000000000000000e+03,4.522056088493988706e-10,4.520800018517427053e-10
2.805000000000000000e+03,4.832891772515140127e-10,4.830914674913958803e-10
2.810000000000000000e+03,5.162284810806212418e-10,5.160873167702709999e-10
2.815000000000000000e+03,5.513761100678488210e-10,5.511848901911643562e-10
2.820000000000000000e+03,5.887506215674667598e-10,5.885078580126794992e-10
2.825000000000000000e+03,6.283520155794749547e-10,6.281865259011949839e-10
2.830000000000000000e+03,6.706071112520816545e-10,6.703581533972520537e-10
2.835000000000000000e+03,7.153860071053975181e-10,7.151672856367186839e-10
2.840000000000000000e+03,7.629856208077410394e-10,7.627660987777341880e-10
2.845000000000000000e+03,8.136100832560814933e-10,8.133147595951401345e-10
2.850000000000000000e+03,8.672408370961488705e-10,8.669817997151656225e-10
2.855000000000000000e+03,9.242119147048018904e-10,9.239445049737209115e-10
2.860000000000000000e+03,9.847274469790094143e-10,9.843893203928551835e-10
2.865000000000000000e+03,1.048843105981581470e-09,1.048512271280804921e-09
2.870000000000000000e+03,1.116837252026566439e-09,1.116519400972050339e-09
2.875000000000000000e+03,1.189006802782283435e-09,1.188627225734802740e-09
2.880000000000000000e+03,1.265388872957272063e-09,1.265063207384482410e-09
2.885000000000000000e+03,1.346540183179630328e-09,1.346066244152617991e-09
2.890000000000000000e+03,1.432275159906658343e-09,1.431887180371663370e-09
2.895000000000000000e+03,1.523243310537803950e-09,1.522789335547256599e-09
2.900000000000000000e+03,1.619518864490146361e-09,1.619049053400203058e-09
2.905000000000000000e+03,1.721454411494814303e-09,1.720956271471604717e-09
2.910000000000000000e+03,1.829365426574396280e-09,1.828815111895010017e-09
2.915000000000000000e+03,1.943456040625861774e-09,1.942944493950614458e-09
2.920000000000000000e+03,2.064264416923037744e-09,2.063678769026650527e-09
2.925000000000000000e+03,2.191957571654353861e-09,2.191368378624118096e-09
2.930000000000000000e+03,2.327092225447907922e-09,2.326380536051186488e-09
2.935000000000000000e+03,2.469705493012239530e-09,2.469099932463570907e-09
2.940000000000000000e+03,2.620651012643764978e-09,2.619929467917906974e-09
2.945000000000000000e+03,2.780040128468103493e-09,2.779291008114475270e-09
2.950000000000000000e+03,2.948466675821892890e-09,2.947626167515603752e-09
2.955000000000000000e+03,3.126171900310642257e-09,3.125397119535760157e-09
2.960000000000000000e+03,3.313953768167958063e-09,3.313087434508151823e-09
2.965000000000000000e+03,3.512127754416428604e-09,3.511202946142495887e-09
2.970000000000000000e+03,3.721232022329881461e-09,3.720272647196378054e-09
2.975000000000000000e+03,3.941860407244954863e-09,3.940849615092272964e-09
2.980000000000000000e+03,4.174569629789745365e-09,4.173511968219624717e-09
2.985000000000000000e+03,4.419953525300891611e-09,4.418863853669776207e-09
2.990000000000000000e+03,4.678698715886379187e-09,4.677536467158896556e-09
2.995000000000000000e+03,4.951436151591386340e-09,4.950189105901589116e-09
3.000000000000000000e+03,5.238778225106821102e-09,5.237510255204137049e-09
3.005000000000000000e+03,5.541597132083367911e-09,5.540218709553522197e-09
3.010000000000000000e+03,5.860449593149124978e-09,5.859064728983708537e-09
3.015000000000000000e+03,6.196300590726127822e-09,6.194831231506820017e-09
3.020000000000000000e+03,6.549892418985174332e-09,6.548335022401804001e-09
3.025000000000000000e+03,6.922023044159869737e-09,6.920428061157562234e-09
3.030000000000000000e+03,7.313731678089331248e-09,7.311998766872167557e-09
3.035000000000000000e+03,7.725779172298624489e-09,7.723973362913449883e-09
3.040000000000000000e+03,8.159149066564054368e-09,8.157317261648654411e-09
3.045000000000000000e+03,8.615010474204628781e-09,8.613036490054230937e-09
3.050000000000000000e+03,9.094179918808220690e-09,9.092179157018944790e-09
3.055000000000000000e+03,9.597993529882264147e-09,9.595836963153149967e-09
3.060000000000000000e+03,1.012739773249452942e-08,1.012514675392033248e-08
3.065000000000000000e+03,1.068359875467255821e-08,1.068129211690575883e-08
3.070000000000000000e+03,1.126798839798659109e-08,1.126550502403520918e-08
3.075000000000000000e+03,1.188156875956721311e-08,1.187906751955901815e-08
3.080000000000000000e+03,1.252606567336151714e-08,1.252331345461109238e-08
3.085000000000000000e+03,1.320235133502019423e-08,1.319963026915111831e-08
3.090000000000000000e+03,1.391241138145012525e-08,1.390946082209628246e-08
3.095000000000000000e+03,1.465739636861604208e-08,1.465430527044198106e-08
3.100000000000000000e+03,1.543882799956808424e-08,1.543572299816767361e-08
3.105000000000000000e+03,1.625869191121312763e-08,1.625533459571720596e-08
3.110000000000000000e+03,1.711826856099580145e-08,1.711482389083789592e-08
3.115000000000000000e+03,1.801959925788579140e-08,1.801594003155185624e-08
3.120000000000000000e+03,1.896424281964177579e-08,1.896049962202839492e-08
3.125000000000000000e+03,1.995437045671333268e-08,1.995038891211465550e-08
3.130000000000000000e+03,2.099159665892194521e-08,2.098756604127165689e-08
3.135000000000000000e+03,2.207844522644831976e-08,2.207406333765254514e-08
3.140000000000000000e+03,2.321641930498832316e-08,2.321198967304565934e-08
3.145000000000000000e+03,2.440815403884828472e-08,2.440353287439583481e-08
3.150000000000000000e+03,2.565583919583205190e-08,2.565096219259871252e-08
3.155000000000000000e+03,2.696168310109775145e-08,2.695663082924977073e-08
3.160000000000000000e+03,2.832830234159743668e-08,2.832297852201576901e-08
3.165000000000000000e+03,2.975794235719776322e-08,2.975253418927395781e-08
3.170000000000000000e+03,3.125364655399901010e-08,3.124791863464998720e-08
3.175000000000000000e+03,3.281782738805625743e-08,3.281184731206745562e-08
3.180000000000000000e+03,3.445326846250998965e-08,3.444713315189499396e-08
3.185000000000000000e+03,3.616319875700318631e-08,3.615668944876433630e-08
3.190000000000000000e+03,3.795019774377935862e-08,3.794353281160177930e-08
3.195000000000000000e+03,3.981779132014978976e-08,3.981078617639616922e-08
3.200000000000000000e+03,4.176885587602632100e-08,4.176168188220315934e-08
3.205000000000000000e+03,4.380712143961719218e-08,4.379956481085235357e-08
3.210000000000000000e+03,4.593576131850258790e-08,4.592789559080661461e-08
3.215000000000000000e+03,4.815837563941084902e-08,4.815025386558532687e-08
3.220000000000000000e+03,5.047884288938439030e-08,5.047034162713909213e-08
3.225000000000000000e+03,5.290072608044305354e-08,5.289198661453388144e-08
3.230000000000000000e+03,5.542833051877744283e-08,5.541914577826085139e-08
3.235000000000000000e+03,5.806534911788727245e-08,5.805590881047125744e-08
3.240000000000000000e+03,6.081636554427721378e-08,6.080650174138616690e-08
3.245000000000000000e+03,6.368551808794948615e-08,6.367529060210438329e-08
3.250000000000000000e+03,6.667740897276297740e-08,6.666678515399023078e-08
3.255000000000000000e+03,6.979665897993093743e-08,6.978564268479138175e-08
3.260000000000000000e+03,7.304805590685500091e-08,7.303667187158766988e-08
3.265000000000000000e+03,7.643674014066793414e-08,7.642483671064183441e-08
3.270000000000000000e+03,7.996751803612562797e-08,7.995526051417744782e-08
3.275000000000000000e+03,8.364599391421762314e-08,8.363322997406160690e-08
3.280000000000000000e+03,8.747741950620227579e-08,8.746419929233905077e-08
3.285000000000000000e+03,9.146749191984048686e-08,9.145379437850164886e-08
3.290000000000000000e+03,9.562203816437299003e-08,9.560781711334848269e-08
3.295000000000000000e+03,9.994694092110335364e-08,9.993224967923310095e-08
3.300000000000000000e+03,1.044485282478376114e-07,1.044332589564479673e-07
3.305000000000000000e+03,1.091329611861933988e-07,1.091172009854514132e-07
3.310000000000000000e+03,1.140069946131249456e-07,1.139906254945883027e-07
3.315000000000000000e+03,1.190771792746895578e-07,1.190602804928949359e-07
3.320000000000000000e+03,1.243506783096354047e-07,1.243331169275455494e-07
3.325000000000000000e+03,1.298344321684594232e-07,1.298162934054306063e-07
3.330000000000000000e+03,1.355359380222866712e-07,1.355171809782964515e-07
3.335000000000000000e+03,1.414628229437221192e-07,1.414433679908308844e-07
3.340000000000000000e+03,1.476227140053706580e-07,1.476026649910282840e-07
3.345000000000000000e+03,1.540239434592994947e-07,1.540031097020792769e-07
3.350000000000000000e+03,1.606744167384276800e-07,1.606529720550093176e-07
3.355000000000000000e+03,1.675830042580961143e-07,1.675607592812086651e-07
3.360000000000000000e+03,1.747582052865604953e-07,1.747352210639318667e-07
3.365000000000000000e+03,1.822090943700587792e-07,1.821853547477957320e-07
3.370000000000000000e+03,1.899449316283717218e-07,1.899204106052440053e-07
3.375000000000000000e+03,1.979752369842397183e-07,1.979498971588512811e-07
3.380000000000000000e+03,2.063097530486545021e-07,2.062835865583351905e-07
3.385000000000000000e+03,2.149586121370474772e-07,2.149315200110134808e-07
3.390000000000000000e+03,2.239319651222042244e-07,2.239040132644229986e-07
3.395000000000000000e+03,2.332404453681215138e-07,2.332116621397342334e-07
3.400000000000000000e+03,2.428951501726526517e-07,2.428653481145296703e-07
3.405000000000000000e+03,2.529069355880455879e-07,2.528762439534373340e-07
3.410000000000000000e+03,2.632875484195531764e-07,2.632558193850734765e-07
3.415000000000000000e+03,2.740485127841770122e-07,2.740158468236336428e-07
3.420000000000000000e+03,2.852021693225065963e-07,2.851684071334423616e-07
3.425000000000000000e+03,2.967607287736516364e-07,2.967258954346799667e-07
3.430000000000000000e+03,3.087368658105783503e-07,3.087010269484373173e-07
3.435000000000000000e+03,3.211439046136525561e-07,3.211068428791910037e-07
3.440000000000000000e+03,3.339948353308633025e-07,3.339567163327024775e-07
3.445000000000000000e+03,3.473036687646843091e-07,3.472643582672938265e-07
3.450000000000000000e+03,3.610843043734637055e-07,3.610438234763542367e-07
3.455000000000000000e+03,3.753513467950119903e-07,3.753095165999023316e-07
3.460000000000000000e+03,3.901191594215340677e-07,3.900761981628970704e-07
3.465000000000000000e+03,4.054032747585538793e-07,4.053589906379797768e-07
3.470000000000000000e+03,4.212190397380525407e-07,4.211733845302409827e-07
3.475000000000000000e+03,4.375822095538052792e-07,4.375352444814779241e-07
3.480000000000000000e+03,4.545091517922782516e-07,4.544608153914442587e-07
3.485000000000000000e+03,4.720165124002514571e-07,4.719667285534278221e-07
3.490000000000000000e+03,4.901212713568819291e-07,4.900700078014408885e-07
3.495000000000000000e+03,5.088407612310577270e-07,5.087880756663093064e-07
3.500000000000000000e+03,5.281930012137749170e-07,5.281387595377700624e-07
3.505000000000000000e+03,5.481960847254467487e-07,5.481402978296634271e-07
3.510000000000000000e+03,5.688687361365317107e-07,5.688113461453033486e-07
3.515000000000000000e+03,5.902300138498646903e-07,5.901709834398909595e-07
3.520000000000000000e+03,6.122993659727207481e-07,6.122387181769088562e-07
3.525000000000000000e+03,6.350968530050655568e-07,6.350344944753189300e-07
3.530000000000000000e+03,6.586427581351163922e-07,6.585786982442672028e-07
3.535000000000000000e+03,6.829580882879065732e-07,6.828921633020264391e-07
3.540000000000000000e+03,7.080638689458238335e-07,7.079961774757729430e-07
3.545000000000000000e+03,7.339820534589697734e-07,7.339124886787398465e-07
3.550000000000000000e+03,7.607347065215711066e-07,7.606633109612618779e-07
3.555000000000000000e+03,7.883447093514428762e-07,7.882713305321460246e-07
3.560000000000000000e+03,8.168350173958167266e-07,8.167597117466948271e-07
3.565000000000000000e+03,8.462294768549295505e-07,8.461521030577405901e-07
3.570000000000000000e+03,8.765520267157895742e-07,8.764726429259069227e-07
3.575000000000000000e+03,9.078274596037014424e-07,9.077459656853127448e-07
3.580000000000000000e+03,9.400808279469295978e-07,9.399972073608305624e-07
3.585000000000000000e+03,9.733377965664293066e-07,9.732520114330142000e-07
3.590000000000000000e+03,1.007624605561138041e-06,1.007536534546702654e-06
3.595000000000000000e+03,1.042967754832953493e-06,1.042877452159287034e-06
3.600000000000000000e+03,1.079394523692652221e-06,1.079301964124584267e-06
3.605000000000000000e+03,1.116932785286348039e-06,1.116837800208147918e-06
3.610000000000000000e+03,1.155610598333696579e-06,1.155513225529935576e-06
3.615000000000000000e+03,1.195456856635296537e-06,1.195357045930051023e-06
3.620000000000000000e+03,1.236500955040311050e-06,1.236398613253349333e-06
3.625000000000000000e+03,1.278772622430280816e-06,1.278667830548587788e-06
3.630000000000000000e+03,1.322302589783876685e-06,1.322195157177859054e-06
3.635000000000000000e+03,1.367121662309186953e-06,1.367011613831804444e-06
3.640000000000000000e+03,1.413261517409950117e-06,1.413148787446366371e-06
3.645000000000000000e+03,1.460754296423761975e-06,1.460638836016566159e-06
3.650000000000000000e+03,1.509632771638262506e-06,1.509514493302815617e-06
3.655000000000000000e+03,1.559930160717595954e-06,1.559809073425399919e-06
3.660000000000000000e+03,1.611680349390658092e-06,1.611556475342399024e-06
3.665000000000000000e+03,1.664918114139351528e-06,1.664791187206792120e-06
3.670000000000000000e+03,1.719678045872034719e-06,1.719548290597946663e-06
3.675000000000000000e+03,1.775996368544243208e-06,1.775863464623057995e-06
3.680000000000000000e+03,1.833908916407072256e-06,1.833772989883878753e-06
3.685000000000000000e+03,1.893452878398477877e-06,1.893313752304228039e-06
3.690000000000000000e+03,1.954665387784355065e-06,1.954523246813510696e-06
3.695000000000000000e+03,2.017585062418939303e-06,2.017439580881818847e-06
3.700000000000000000e+03,2.082250241796152288e-06,2.082101477901853026e-06
3.705000000000000000e+03,2.148700341736462679e-06,2.148548280413105234e-06
3.710000000000000000e+03,2.216975409010386066e-06,2.216819953163653074e-06
3.715000000000000000e+03,2.287115954322292803e-06,2.286957086004999033e-06
3.720000000000000000e+03,2.359163267785434226e-06,2.359000896615231008e-06
3.725000000000000000e+03,2.433159196233687979e-06,2.432993233046053769e-06
3.730000000000000000e+03,2.509146068992144589e-06,2.508976576088985660e-06
3.735000000000000000e+03,2.587167198925670002e-06,2.586994041456220681e-06
3.740000000000000000e+03,2.667266195816797414e-06,2.667089381771536656e-06
3.745000000000000000e+03,2.749487578758422436e-06,2.749306988366833054e-06
3.750000000000000000e+03,2.833876367892001521e-06,2.833691892879616074e-06
3.755000000000000000e+03,2.920478010178143196e-06,2.920289768647156847e-06
3.760000000000000000e+03,3.009339103133419761e-06,3.009146931892713653e-06
3.765000000000000000e+03,3.100506504077360881e-06,3.100310342699537640e-06
3.770000000000000000e+03,3.194027775508962083e-06,3.193827605768202026e-06
3.775000000000000000e+03,3.289951222221387024e-06,3.289746970952918790e-06
3.780000000000000000e+03,3.388325724285783365e-06,3.388117333572630159e-06
3.785000000000000000e+03,3.489200774165988002e-06,3.488988234492624472e-06
3.790000000000000000e+03,3.592626643734718816e-06,3.592409859972381949e-06
3.795000000000000000e+03,3.698654124470613067e-06,3.698433041275666374e-06
3.800000000000000000e+03,3.807334731589122264e-06,3.807109254038723642e-06
3.805000000000000000e+03,3.918720407124850408e-06,3.918490617392448998e-06
3.810000000000000000e+03,4.032864132324235612e-06,4.032629892834826942e-06
3.815000000000000000e+03,4.149819278138159868e-06,4.149580482849542043e-06
3.820000000000000000e+03,4.269639772238131053e-06,4.269396429267033712e-06
3.825000000000000000e+03,4.392380358819245796e-06,4.392132411364195150e-06
3.830000000000000000e+03,4.518096375911936077e-06,4.517843743699236855e-06
3.835000000000000000e+03,4.646843662595201066e-06,4.646586373677762860e-06
3.840000000000000000e+03,4.778678985815751157e-06,4.778416878846946854e-06
3.845000000000000000e+03,4.913659353765905300e-06,4.913392463914160858e-06
3.850000000000000000e+03,5.051842702505692817e-06,5.051570957486822492e-06
3.855000000000000000e+03,5.193287543373127462e-06,5.193010808530114204e-06
3.860000000000000000e+03,5.338052758853308321e-06,5.337771082539610683e-06
3.865000000000000000e+03,5.486198159299044853e-06,5.485911457425553394e-06
3.870000000000000000e+03,5.637783963324945554e-06,5.637492219106059180e-06
3.875000000000000000e+03,5.792871168954493972e-06,5.792574256806215304e-06
3.880000000000000000e+03,5.951521163915615837e-06,5.951219058060460550e-06
3.885000000000000000e+03,6.113795911214218771e-06,6.113488703415713810e-06
3.890000000000000000e+03,6.279758431625402625e-06,6.279445860832338925e-06
3.895000000000000000e+03,6.449471727366913787e-06,6.449153779781117861e-06
3.900000000000000000e+03,6.622999468721252925e-06,6.622676285033548836e-06
3.905000000000000000e+03,6.800406495084239640e-06,6.800077770143491569e-06
3.910000000000000000e+03,6.981757256147252194e-06,6.981423190617942967e-06
3.915000000000000000e+03,7.167117704747365347e-06,7.166778056775544801e-06
3.920000000000000000e+03,7.356553571033404687e-06,7.356208426290150971e-06
3.925000000000000000e+03,7.550131680038095807e-06,7.549780896418758966e-06
3.930000000000000000e+03,7.747918968138289305e-06,7.747562595911789565e-06
3.935000000000000000e+03,7.949983318135905543e-06,7.949621176604328184e-06
3.940000000000000000e+03,8.156392594275510576e-06,8.156024804687222508e-06
3.945000000000000000e+03,8.367215755685569612e-06,8.366842151657136840e-06
3.950000000000000000e+03,8.582521687265132315e-06,8.582142384943965675e-06
3.955000000000000000e+03,8.802380424469213822e-06,8.801995158215631906e-06
3.960000000000000000e+03,9.026861687277808554e-06,9.026470601358940664e-06
3.965000000000000000e+03,9.256036346226871321e-06,9.255639310136412571e-06
3.970000000000000000e+03,9.489975327524420706e-06,9.489572335518384877e-06
3.975000000000000000e+03,9.728750132656459722e-06,9.728341172690602428e-06
3.980000000000000000e+03,9.972432764157556880e-06,9.972017749736617433e-06
3.985000000000000000e+03,1.022109544725052901e-05,1.022067441599580103e-05
3.990000000000000000e+03,1.047481116800971878e-05,1.047438393009678535e-05
3.995000000000000000e+03,1.073365263414916182e-05,1.073321944766680035e-05
4.000000000000000000e+03,1.099769403797121987e-05,1.099725450871758120e-05
4.005000000000000000e+03,1.126700868102526648e-05,1.126656302470869168e-05
4.010000000000000000e+03,1.154167110820340118e-05,1.154121926528868708e-05
4.015000000000000000e+03,1.182175593862714413e-05,1.182129784471581910e-05
4.020000000000000000e+03,1.210733808833568106e-05,1.210687370795910948e-05
4.025000000000000000e+03,1.239849278884322517e-05,1.239802211648121879e-05
4.030000000000000000e+03,1.269529562425371393e-05,1.269481863370487724e-05
4.035000000000000000e+03,1.299782247558876221e-05,1.299733911016422597e-05
4.040000000000000000e+03,1.330614935377145405e-05,1.330565966834349828e-05
4.045000000000000000e+03,1.362035280788815606e-05,1.361985668720449063e-05
4.050000000000000000e+03,1.394050920145169006e-05,1.394000678640563412e-05
4.055000000000000000e+03,1.426669582584258827e-05,1.426618681021465520e-05
4.060000000000000000e+03,1.459898910024573290e-05,1.459847381111762243e-05
4.065000000000000000e+03,1.493746681709022504e-05,1.493694503312689344e-05
4.070000000000000000e+03,1.528220617496983127e-05,1.528167789479112815e-05
4.075000000000000000e+03,1.563328472506804074e-05,1.563274997191030753e-05
4.080000000000000000e+03,1.599078024125659769e-05,1.599023897995902242e-05
4.085000000000000000e+03,1.635477046029254282e-05,1.635422275622138647e-05
4.090000000000000000e+03,1.672533345296528594e-05,1.672477924164134786e-05
4.095000000000000000e+03,1.710254723439218321e-05,1.710198646239179438e-05
4.100000000000000000e+03,1.748648970834645313e-05,1.748592251116664502e-05
4.105000000000000000e+03,1.787723931676459845e-05,1.787666552820022734e-05
4.110000000000000000e+03,1.827487396341984441e-05,1.827429368201746778e-05
4.115000000000000000e+03,1.867947192323250245e-05,1.867888514991998390e-05
4.120000000000000000e+03,1.909111141545081683e-05,1.909051809821263557e-05
4.125000000000000000e+03,1.950987047374949383e-05,1.950927066217438059e-05
4.130000000000000000e+03,1.993582720603265693e-05,1.993522092577976724e-05
4.135000000000000000e+03,2.036905973876178310e-05,2.036844690117478723e-05
4.140000000000000000e+03,2.080964579013654941e-05,2.080902650791312340e-05
4.145000000000000000e+03,2.125766328248754474e-05,2.125703755195817922e-05
4.150000000000000000e+03,2.171318997112914971e-05,2.171255770445540320e-05
4.155000000000000000e+03,2.217630311032719467e-05,2.217566448028199255e-05
4.160000000000000000e+03,2.264708028837988246e-05,2.264643521637892652e-05
4.165000000000000000e+03,2.312559861109420898e-05,2.312494704987161403e-05
4.170000000000000000e+03,2.361193472034330308e-05,2.361127689598493937e-05
4.175000000000000000e+03,2.410616572193415385e-05,2.410550142575975662e-05
4.180000000000000000e+03,2.460836764534720896e-05,2.460769704357592509e-05
4.185000000000000000e+03,2.511861677986587131e-05,2.511793986449024094e-05
4.190000000000000000e+03,2.563698891372498338e-05,2.563630569139403558e-05
4.195000000000000000e+03,2.616355944545494124e-05,2.616286999199900922e-05
4.200000000000000000e+03,2.669840353234053578e-05,2.669770787565666661e-05
4.205000000000000000e+03,2.724159603474889232e-05,2.724089407002021468e-05
4.210000000000000000e+03,2.779321094085148623e-05,2.779250289755399100e-05
4.215000000000000000e+03,2.835332233160656355e-05,2.835260825189999770e-05
4.220000000000000000e+03,2.892200387971057384e-05,2.892128357410726349e-05
4.225000000000000000e+03,2.949932807018929763e-05,2.949860182873282940e-05
4.230000000000000000e+03,3.008536783344501213e-05,3.008463547982094812e-05
4.235000000000000000e+03,3.068019465240637365e-05,3.067945646676971936e-05
4.240000000000000000e+03,3.128388026980497683e-05,3.128313618009129058e-05
4.245000000000000000e+03,3.189649550050472964e-05,3.189574543707548906e-05
4.250000000000000000e+03,3.251811019438709228e-05,3.251735445736358721e-05
4.255000000000000000e+03,3.314879438690708665e-05,3.314803283844125080e-05
4.260000000000000000e+03,3.378861674027550392e-05,3.378784953105916068e-05
4.265000000000000000e+03,3.443764565690019360e-05,3.443687281458810811e-05
4.270000000000000000e+03,3.509594872266539863e-05,3.509517027231947331e-05
4.275000000000000000e+03,3.576359266981707558e-05,3.576280876671802630e-05
4.280000000000000000e+03,3.644064382233938457e-05,3.643985441463606234e-05
4.285000000000000000e+03,3.712716727943110974e-05,3.712637256249764730e-05
4.290000000000000000e+03,3.782322784337335955e-05,3.782242776146250708e-05
4.295000000000000000e+03,3.852888909166185294e-05,3.852808374257674404e-05
4.300000000000000000e+03,3.924421385949816363e-05,3.924340339192119526e-05
4.305000000000000000e+03,3.996926423978965906e-05,3.996844872576534730e-05
4.310000000000000000e+03,4.070410147180545421e-05,4.070328086573613170e-05
4.315000000000000000e+03,4.144878557002924069e-05,4.144796001401072878e-05
4.320000000000000000e+03,4.220337580665056487e-05,4.220254542854301547e-05
4.325000000000000000e+03,4.296793056310595270e-05,4.296709539833126046e-05
4.330000000000000000e+03,4.374250703316126114e-05,4.374166721873869434e-05
4.335000000000000000e+03,4.452716163117349498e-05,4.452631716687456478e-05
4.340000000000000000e+03,4.532194943537009451e-05,4.532110047704473646e-05
4.345000000000000000e+03,4.612692474456967499e-05,4.612607131628300992e-05
4.350000000000000000e+03,4.694214044723190042e-05,4.694128275997097892e-05
4.355000000000000000e+03,4.776764876375167633e-05,4.776678676755552038e-05
4.360000000000000000e+03,4.860350020724734906e-05,4.860263415837441983e-05
4.365000000000000000e+03,4.944974469700187962e-05,4.944887458759978190e-05
4.370000000000000000e+03,5.030643063059521804e-05,5.030555652230673391e-05
4.375000000000000000e+03,5.117360510659249746e-05,5.117272721767876606e-05
4.380000000000000000e+03,5.205131433280585097e-05,5.205043269335846314e-05
4.385000000000000000e+03,5.293960295822965306e-05,5.293871770995184730e-05
4.390000000000000000e+03,5.383851451841701631e-05,5.383762574569839378e-05
4.395000000000000000e+03,5.474809113856213597e-05,5.474719897331281127e-05
4.400000000000000000e+03,5.566837371907382457e-05,5.566747823701056753e-05
4.405000000000000000e+03,5.659940167577255670e-05,5.659850302972566430e-05
4.410000000000000000e+03,5.754121316257869700e-05,5.754031147052803420e-05
4.415000000000000000e+03,5.849384492305370630e-05,5.849294028225347514e-05
4.420000000000000000e+03,5.945733225328541445e-05,5.945642476935196339e-05
4.425000000000000000e+03,6.043170900188799991e-05,6.043079879596528889e-05
4.430000000000000000e+03,6.141700745865788936e-05,6.141609476424242907e-05
