benchmark,setting,horizon_days,left_edge,right_edge,mass
lognormal,baseline,30,1803.7024327035072,1898.89783887397,1.757986205806499e-13
lognormal,baseline,30,1898.89783887397,1994.093245044433,2.5198498262886373e-13
lognormal,baseline,30,1994.093245044433,2089.2886512148957,3.2170520910424917e-13
lognormal,baseline,30,2089.2886512148957,2184.484057385359,3.9857136343980386e-13
lognormal,baseline,30,2184.484057385359,2279.6794635558217,4.881767230271031e-13
lognormal,baseline,30,2279.6794635558217,2374.8748697262845,5.959384385472846e-13
lognormal,baseline,30,2374.8748697262845,2470.0702758967473,7.28771377218435e-13
lognormal,baseline,30,2470.0702758967473,2565.26568206721,8.963964005165745e-13
lognormal,baseline,30,2565.26568206721,2660.4610882376733,1.1132354586710543e-12
lognormal,baseline,30,2660.4610882376733,2755.656494408136,1.4016535791986089e-12
lognormal,baseline,30,2755.656494408136,2850.851900578599,1.7979290531544937e-12
lognormal,baseline,30,2850.851900578599,2946.0473067490616,2.3638996829653877e-12
lognormal,baseline,30,2946.0473067490616,3041.242712919525,3.210981334827716e-12
lognormal,baseline,30,3041.242712919525,3136.438119089988,4.549419714567624e-12
lognormal,baseline,30,3136.438119089988,3231.6335252604504,5.9678377834039115e-12
lognormal,baseline,30,3231.6335252604504,3326.828931430913,8.010380886675041e-12
lognormal,baseline,30,3326.828931430913,3422.024337601376,2.5971921742370884e-06
lognormal,baseline,30,3422.024337601376,3517.2197437718387,1.4422325896175914e-05
lognormal,baseline,30,3517.2197437718387,3612.415149942302,3.4458831766392627e-05
lognormal,baseline,30,3612.415149942302,3707.610556112765,5.685263370030493e-05
lognormal,baseline,30,3707.610556112765,3802.805962283228,7.37220122062306e-05
lognormal,baseline,30,3802.805962283228,3898.001368453691,7.796745641269725e-05
lognormal,baseline,30,3898.001368453691,3993.1967746241535,6.608151313466114e-05
lognormal,baseline,30,3993.1967746241535,4088.392180794616,4.095863259573945e-05
lognormal,baseline,30,4088.392180794616,4183.587586965079,1.4451809105691979e-05
lognormal,baseline,30,4183.587586965079,4278.782993135542,1.8365089527151702e-11
lognormal,baseline,30,4278.782993135542,4373.9783993060055,2.544326658238717e-12
lognormal,baseline,30,4373.9783993060055,4469.173805476468,2.617872314453638e-12
lognormal,baseline,30,4469.173805476468,4564.369211646931,2.084021817533474e-12
lognormal,baseline,30,4564.369211646931,4659.564617817394,1.7301964724042257e-12
lognormal,baseline,30,4659.564617817394,4754.760023987857,1.478952605876603e-12
lognormal,baseline,30,4754.760023987857,4849.955430158319,1.2727322121128894e-12
lognormal,baseline,30,4849.955430158319,4945.150836328782,1.0677813247069434e-13
lognormal,baseline,30,4945.150836328782,5040.346242499246,1.1564448157563387e-06
lognormal,baseline,30,5040.346242499246,5135.541648669709,0.0010961398369224629
lognormal,baseline,30,5135.541648669709,5230.737054840171,0.004252924534109752
lognormal,baseline,30,5230.737054840171,5325.932461010635,0.010302160420981983
lognormal,baseline,30,5325.932461010635,5421.127867181096,0.019920639491589898
lognormal,baseline,30,5421.127867181096,5516.32327335156,0.03346187663426599
lognormal,baseline,30,5516.32327335156,5611.5186795220225,0.0504386556840842
lognormal,baseline,30,5611.5186795220225,5706.714085692485,0.069255385764579
lognormal,baseline,30,5706.714085692485,5801.909491862949,0.08738084532066386
lognormal,baseline,30,5801.909491862949,5897.104898033412,0.10170292767046643
lognormal,baseline,30,5897.104898033412,5992.3003042038745,0.10935073712768996
lognormal,baseline,30,5992.3003042038745,6087.495710374336,0.1089192857220441
lognormal,baseline,30,6087.495710374336,6182.6911165448,0.10083016900621065
lognormal,baseline,30,6182.6911165448,6277.886522715263,0.08681751826350374
lognormal,baseline,30,6277.886522715263,6373.081928885726,0.0695819948652866
lognormal,baseline,30,6373.081928885726,6468.277335056189,0.051998285903083565
lognormal,baseline,30,6468.277335056189,6563.472741226652,0.03637944146122624
lognormal,baseline,30,6563.472741226652,6658.668147397115,0.024011584574875358
lognormal,baseline,30,6658.668147397115,6753.863553567577,0.015081559453734369
lognormal,baseline,30,6753.863553567577,6849.058959738039,0.008976115674502225
lognormal,baseline,30,6849.058959738039,6944.254365908503,0.004978180966215193
lognormal,baseline,30,6944.254365908503,7039.449772078966,0.002509667767543564
lognormal,baseline,30,7039.449772078966,7134.645178249429,0.0011065290098263706
lognormal,baseline,30,7134.645178249429,7229.840584419892,0.0004039927607981365
lognormal,baseline,30,7229.840584419892,7325.035990590355,0.0001252517021218171
lognormal,baseline,30,7325.035990590355,7420.231396760817,7.01526070554593e-05
lognormal,baseline,30,7420.231396760817,7515.42680293128,0.00010388581861982106
lognormal,baseline,30,7515.42680293128,7610.6222091017435,0.00014567472786482032
lognormal,baseline,30,7610.6222091017435,7705.817615272206,0.00015746525072178402
lognormal,baseline,30,7705.817615272206,7801.013021442669,0.00013261530507477882
lognormal,baseline,30,7801.013021442669,7896.208427613133,8.458428810400531e-05
lognormal,baseline,30,7896.208427613133,7991.4038337835955,3.562255382660108e-05
lognormal,baseline,30,7991.4038337835955,8086.599239954058,5.46089100557114e-06
lognormal,baseline,30,8086.599239954058,8181.794646124522,2.550301616322886e-12
lognormal,baseline,30,8181.794646124522,8276.990052294983,2.4007052256361377e-12
lognormal,baseline,30,8276.990052294983,8372.185458465447,2.1620132638891128e-12
lognormal,baseline,30,8372.185458465447,8467.38086463591,1.8148024055066723e-12
lognormal,baseline,30,8467.38086463591,8562.576270806372,1.557935575557163e-12
lognormal,baseline,30,8562.576270806372,8657.771676976836,1.3564272761601807e-12
lognormal,baseline,30,8657.771676976836,8752.9670831473,1.1945075610476743e-12
lognormal,baseline,30,8752.9670831473,8848.162489317761,1.0618654909240019e-12
lognormal,baseline,30,8848.162489317761,8943.357895488223,9.514586142593535e-13
lognormal,baseline,30,8943.357895488223,9038.553301658687,8.583143134504621e-13
lognormal,baseline,30,9038.553301658687,9133.748707829149,7.788232935005941e-13
lognormal,baseline,30,9133.748707829149,9228.944113999612,7.10303967993628e-13
lognormal,baseline,30,9228.944113999612,9324.139520170076,6.507237099965519e-13
lognormal,baseline,30,9324.139520170076,9419.334926340538,5.985147833920054e-13
lognormal,baseline,30,9419.334926340538,9514.530332511002,5.524494439852878e-13
lognormal,baseline,30,9514.530332511002,9609.725738681464,5.115531530843358e-13
lognormal,baseline,30,9609.725738681464,9704.921144851927,4.750429987403202e-13
lognormal,baseline,30,9704.921144851927,9800.11655102239,4.4228318513828276e-13
lognormal,baseline,30,9800.11655102239,9895.311957192853,4.127523234866179e-13
lognormal,baseline,30,9895.311957192853,9990.507363363316,3.860190371976164e-13
lognormal,baseline,30,9990.507363363316,10085.702769533778,3.617235230450066e-13
lognormal,baseline,30,10085.702769533778,10180.898175704242,3.3956344262576046e-13
lognormal,baseline,30,10180.898175704242,10276.093581874704,3.192830045625061e-13
lognormal,baseline,30,10276.093581874704,10371.288988045168,3.006644269154509e-13
lognormal,baseline,30,10371.288988045168,10466.48439421563,2.8352119605988537e-13
lognormal,baseline,30,10466.48439421563,10561.679800386093,2.676926965769679e-13
lognormal,baseline,30,10561.679800386093,10656.875206556557,2.5303989841499244e-13
lognormal,baseline,30,10656.875206556557,10752.070612727019,2.394418670659054e-13
lognormal,baseline,30,10752.070612727019,10847.266018897482,2.2679291967358396e-13
lognormal,baseline,30,10847.266018897482,10942.461425067944,2.150002917548665e-13
lognormal,baseline,30,10942.461425067944,11037.656831238408,2.0398221010382313e-13
lognormal,baseline,30,11037.656831238408,11132.85223740887,1.9366629064814611e-13
lognormal,baseline,30,11132.85223740887,11228.047643579333,1.8398819758509157e-13
lognormal,baseline,30,11228.047643579333,11323.243049749797,1.7489051344822143e-13
lognormal,baseline,30,11323.243049749797,11418.438455920259,1.6632177993143572e-13
lognormal,baseline,30,11418.438455920259,11513.633862090723,1.5823567696817882e-13
lognormal,baseline,30,11513.633862090723,11608.829268261186,1.505903133380364e-13
lognormal,baseline,30,11608.829268261186,11704.024674431648,1.4334760625887278e-13
lognormal,baseline,30,11704.024674431648,11799.22008060211,1.364727302797477e-13
lognormal,baseline,30,11799.22008060211,11894.415486772574,1.2993361735522029e-13
lognormal,baseline,30,11894.415486772574,11989.610892943037,1.2370049016167185e-13
lognormal,baseline,30,11989.610892943037,12084.8062991135,1.17745409167305e-13
lognormal,baseline,30,12084.8062991135,12180.001705283961,1.1204180980863352e-13
lognormal,baseline,30,12180.001705283961,12275.197111454425,1.0656399794699371e-13
lognormal,baseline,30,12275.197111454425,12370.392517624887,1.0128655607333962e-13
lognormal,baseline,30,12370.392517624887,12465.587923795349,9.61835823413699e-14
lognormal,baseline,30,12465.587923795349,12560.783329965814,9.122762337465747e-14
lognormal,baseline,30,12560.783329965814,12655.978736136276,8.638803684892977e-14
lognormal,baseline,30,12655.978736136276,12751.17414230674,8.162824364487788e-14
lognormal,baseline,30,12751.17414230674,12846.369548477202,7.690062185088119e-14
lognormal,baseline,30,12846.369548477202,12941.564954647665,7.213566295154113e-14
lognormal,baseline,30,12941.564954647665,13036.760360818127,6.721405715095168e-14
lognormal,baseline,30,13036.760360818127,13131.955766988589,6.186770288605742e-14
lognormal,baseline,30,13131.955766988589,13227.151173159054,4.72339091721283e-14
lognormal,baseline,60,1807.4124809669725,1902.8036952402292,1.9901275137735446e-12
lognormal,baseline,60,1902.8036952402292,1998.1949095134862,1.1476694398615051e-12
lognormal,baseline,60,1998.1949095134862,2093.586123786743,1.0243814388477902e-12
lognormal,baseline,60,2093.586123786743,2188.97733806,9.871727059179028e-13
lognormal,baseline,60,2188.97733806,2284.368552333257,9.829183059181431e-13
lognormal,baseline,60,2284.368552333257,2379.759766606514,9.983647954684628e-13
lognormal,baseline,60,2379.759766606514,2475.1509808797705,1.0296485891775907e-12
lognormal,baseline,60,2475.1509808797705,2570.5421951530275,1.0767245246809366e-12
lognormal,baseline,60,2570.5421951530275,2665.9334094262845,1.1420886368492508e-12
lognormal,baseline,60,2665.9334094262845,2761.3246236995415,1.2309720137188146e-12
lognormal,baseline,60,2761.3246236995415,2856.7158379727985,1.3527398733666425e-12
lognormal,baseline,60,2856.7158379727985,2952.107052246055,1.524094083511071e-12
lognormal,baseline,60,2952.107052246055,3047.498266519312,1.777142474452241e-12
lognormal,baseline,60,3047.498266519312,3142.8894807925694,2.1826491533392713e-12
lognormal,baseline,60,3142.8894807925694,3238.2806950658255,2.5377399127376626e-12
