benchmark,setting,days,withheld_rmse,full_density_l1,known_outside_support,fitted_below_0_8_forward,fitted_above_1_2_forward,fitted_above_1_8_forward,fitted_normalised_mean,fitted_normalised_variance,known_below_0_8_forward,known_above_1_2_forward,known_above_1_8_forward,known_normalised_mean,known_normalised_variance
lognormal,baseline,30,0.12724816512982745,0.05857730035835525,1.6892784147478378e-43,0.000381512468822116,0.000924501502164067,3.158229278333504e-12,1.0000000000000466,0.0033211020520445,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,baseline,60,0.10804928766634239,0.04327969403110288,8.037343717953724e-23,0.0025575438327158726,0.010334921926238225,8.588368595770838e-12,1.000000000000039,0.006631802075774962,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,baseline,90,0.13169012616626694,0.03706329994278283,6.813195982656813e-16,0.013458582584172799,0.028464677188018768,1.0350116577546338e-10,1.0000000000000344,0.009914919591048843,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,baseline,120,0.09593459356176953,0.031048838201989504,2.0624595114158172e-12,0.02918667627408726,0.04959897730912749,1.0978202847125489e-07,1.0000000000000238,0.013257150103666682,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,baseline,180,0.0832657368904636,0.027309945441565567,6.5773376164415746e-09,0.06402128777844901,0.08644481921236744,3.182700825474417e-06,0.9999999999999605,0.019902394157363945,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,baseline,240,0.14894506382338946,0.02600921901259266,3.850459588888184e-07,0.0983911881230411,0.1141015315173104,0.0003468043710848945,0.9999999999999043,0.02668780362374301,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,baseline,300,0.10527066894520268,0.02564127569033594,4.516714263178732e-06,0.12738628792350154,0.13619356514468026,0.0004001674761191555,0.9999999999999954,0.033410977604447556,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,baseline,365,0.1377232351560361,0.03239058208613103,2.646782774876919e-05,0.15527088518697196,0.15548817042106663,0.00028763099971686396,0.9999999999999996,0.04078056992985091,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,coarse,30,0.12719617007079803,0.08589265484856776,1.6892784147478378e-43,0.0004084982703803891,0.0008903710559812311,1.7184471718259765e-12,1.0000000000000384,0.003322012200639879,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,coarse,60,0.1087886020174524,0.0626652502032918,8.037343717953724e-23,0.0022751453831922524,0.010213857928389077,4.57649757383993e-12,1.000000000000024,0.006631893751912532,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,coarse,90,0.1319673971608943,0.05239733146696951,6.813195982656813e-16,0.012970316602261039,0.028288568935037575,5.349480553582354e-11,1.0000000000000044,0.009914962993657461,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,coarse,120,0.09642717114417462,0.04431620250327396,2.0624595114158172e-12,0.02853384575643219,0.049447276820099584,1.3024284107074813e-07,0.9999999999999876,0.013256154320388847,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,coarse,180,0.08380454214810411,0.038117479577622446,6.5773376164415746e-09,0.06339438000750659,0.08638593967803627,2.333613012960545e-06,0.9999999999999774,0.019902049683639067,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,coarse,240,0.14904448873667556,0.03479125097794406,3.850459588888184e-07,0.09788854644860659,0.11398015760114874,0.000342733368662346,0.9999999999999694,0.026686782048451985,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,coarse,300,0.10565403043779804,0.033612357108662234,4.516714263178732e-06,0.12700680362985672,0.1361321142721344,0.0004018402797281738,1.0000000000000004,0.03341114665071365,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,coarse,365,0.13791585161530565,0.039243815189502644,2.646782774876919e-05,0.15490904796856614,0.155411127899874,0.000282261921247369,1.0,0.040780196648317,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,fine,30,0.127544957638403,0.04491505334139761,1.6892784147478378e-43,0.0003721653934225445,0.0009405143715292437,2.8125316924545333e-12,1.0000000000000344,0.003320140108402647,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,fine,60,0.1079137952629452,0.03364880067767377,8.037343717953724e-23,0.002470286480468848,0.01035901974654204,7.50310697468673e-12,1.0000000000000344,0.006631689299995136,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,fine,90,0.1316362659476369,0.02956145922691416,6.813195982656813e-16,0.013285862509848888,0.028507607447418065,9.565402534559709e-11,1.0000000000000417,0.009914901389948438,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,fine,120,0.0958074274624295,0.024579194930098653,2.0624595114158172e-12,0.02897156026723404,0.049638501269547344,1.1708541416247852e-07,1.0000000000000373,0.013257240638051115,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,fine,180,0.08313504744614869,0.022319921957257658,6.5773376164415746e-09,0.06381008790044918,0.08646057923005343,2.863131434072141e-06,0.9999999999998517,0.019902432634008704,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,fine,240,0.14885763415364167,0.021977175943441316,3.850459588888184e-07,0.09822329985194199,0.11413112119179242,0.000344492609129743,0.9999999999999991,0.026687518941064248,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,fine,300,0.10536057713285915,0.022013807290089067,4.516714263178732e-06,0.12725343043209267,0.13621180006720418,0.00040268105364033523,1.0,0.033411190338571206,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,fine,365,0.1375911652492179,0.029370680675886874,2.646782774876919e-05,0.1551557371679111,0.15550679752155394,0.0002896787483845486,1.0,0.040780505774750564,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,weak,30,0.0803231997915205,0.05886695104645169,1.6892784147478378e-43,0.000302908394474882,0.0006171290771138843,1.9310206307325623e-11,1.0000000000000713,0.0033216451289266313,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,weak,60,0.11326151171266305,0.04635228607868762,8.037343717953724e-23,0.0028765801366276646,0.010304167299664074,1.2466638684969718e-10,1.0000000000000395,0.006630825469611912,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,weak,90,0.13481793309737364,0.0392494356509662,6.813195982656813e-16,0.013563444585342161,0.028266181668037633,1.8279220858288678e-10,0.9999999999999997,0.009910434236155119,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,weak,120,0.11393073986606918,0.03575106544497644,2.0624595114158172e-12,0.028590653849114304,0.04953247275886923,1.0717704702731757e-09,0.9999999999999736,0.013244471996830764,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,weak,180,0.09742914527881998,0.03727203833537413,6.5773376164415746e-09,0.06396167912436033,0.08712263620114745,3.77173538565214e-07,0.9999999999999577,0.019894066359414486,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,weak,240,0.1581191033300235,0.03531285966297706,3.850459588888184e-07,0.09821314507192845,0.11403419057898373,0.00024046145828950853,0.9999999999999585,0.026692296288299833,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,weak,300,0.11942945413797394,0.04084940431663134,4.516714263178732e-06,0.12733665651167486,0.1369814949608859,0.00023526072727018756,1.0000000000000082,0.03340200355691714,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,weak,365,0.1507811727034852,0.04529186543752402,2.646782774876919e-05,0.15479921157172077,0.1554918525622432,0.00010065500401996344,0.999999999999992,0.04074793457976833,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,strong,30,0.4809562682782323,0.06834376844220949,1.6892784147478378e-43,0.00021494107518177477,0.0017940318419958571,1.0060844028026038e-12,1.000000000000098,0.0033793633353986774,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,strong,60,0.16492233169507217,0.04256043392879974,8.037343717953724e-23,0.0021178062591576687,0.010369596654649928,4.20234134868893e-12,1.000000000000092,0.006669216402347411,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,strong,90,0.14239139613670784,0.03528082641219146,6.813195982656813e-16,0.012756327096098008,0.028819058680026363,6.530362806974801e-11,0.9999999999999653,0.009953625005652889,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,strong,120,0.0819637106193355,0.030045448658729552,2.0624595114158172e-12,0.02930387842287168,0.04966139817153413,2.5192417831506776e-08,0.9999999999998637,0.01328437189802556,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,strong,180,0.06648517067531928,0.02552662814544484,6.5773376164415746e-09,0.06433823453750193,0.08590808675251359,4.36585756314898e-06,1.0000000000000688,0.019932085483640893,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,strong,240,0.14247171821435503,0.02381865974918202,3.850459588888184e-07,0.09852367034675319,0.11425098130954307,0.00043795138723311873,0.9999999999999115,0.026702954290268588,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,strong,300,0.09486371452215506,0.021866430581480467,4.516714263178732e-06,0.12713242889408402,0.13609849272682603,0.0005770791944542554,1.0,0.03343245204551937,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,strong,365,0.11838017495723804,0.026128203125761126,2.646782774876919e-05,0.155428496112326,0.15548420593346193,0.000582784599623593,1.0,0.040788337427569044,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,narrow,30,0.12724768895850228,0.05857761608519299,8.85058022122341e-29,0.0003817406097673779,0.0009245016720064135,9.93852453668109e-13,1.0000000000000164,0.00332108914506013,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,narrow,60,0.1080494692322895,0.04328028964177295,2.1243503491136965e-15,0.0025577177736293,0.010334923804665979,7.580007222903286e-12,1.0000000000000062,0.006631790558150552,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,narrow,90,0.13168987738964358,0.037063373415035725,6.641677646929897e-11,0.01345871529877366,0.028464677311626222,7.71278317548305e-11,0.9999999999999266,0.00991490422199548,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,narrow,120,0.09593398028562294,0.031049121659479637,1.2201011219934722e-08,0.02918662309071232,0.04959897897643769,1.237499181656442e-07,1.0000000000000437,0.01325712823470937,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,narrow,180,0.08326638653369675,0.02730721678524451,2.3736203434761657e-06,0.06402126674052042,0.08644481935683639,3.414436453677692e-06,1.0000000000000075,0.019902347297330536,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,narrow,240,0.14893733957774835,0.026018738396650688,3.493699760674489e-05,0.0983914494045919,0.11410153079691747,0.00032519308904106655,1.0000000000000002,0.02668687004043413,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,narrow,300,0.10526802102014944,0.025658769702278015,0.0001831576142337634,0.12738625378864807,0.13619356541350278,0.00038309049768120245,0.9999999999999999,0.03341014524443042,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,narrow,365,0.13759969382379894,0.03235639964362548,0.0006190195507684926,0.155267380744266,0.15548816907891694,0.00037004189298532337,1.0000000000000009,0.04075416243421248,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
lognormal,wide,30,0.1272482869553881,0.05857722392238482,6.954154758124203e-62,0.00038145670825206584,0.0009245014212093053,6.822806205004668e-12,1.000000000000088,0.0033211052075492464,5.599278553137975e-05,0.000667319734815488,4.3413888720305095e-25,1.0,0.003293081551435913
lognormal,wide,60,0.10804925365077936,0.043279540478745555,4.532538343353463e-32,0.0025574964536017528,0.010334921870265567,1.2885853211870241e-11,1.000000000000078,0.006631804915471218,0.0033509144750588212,0.011040505627346847,1.558412694846654e-13,1.0,0.006597007488976235
lognormal,wide,90,0.13169019429154005,0.037063251669410296,4.272126668083495e-22,0.013458549495966084,0.028464677186533643,1.5218342909505204e-10,1.000000000000062,0.009914923950505194,0.014002304545672748,0.02968189167680078,1.1994204585906341e-09,1.0,0.00991181352406878
lognormal,wide,120,0.09593474295412213,0.031048721517393865,4.315840916296949e-17,0.029186691612550515,0.04959897720654399,1.0855929854533249e-07,1.000000000000025,0.013257154714586772,0.029478399865470323,0.04975679286695655,1.0920295409094793e-07,1.0,0.013237535485762078
lognormal,wide,180,0.08326554437881202,0.027310497735892846,4.600177637493301e-12,0.06402129363854575,0.08644481920095834,3.1746050237128517e-06,0.9999999999997538,0.019902400415427124,0.06443688312291969,0.0856005317371566,1.0439958089421145e-05,1.0,0.019921871095473474
lognormal,wide,240,0.14894557422929047,0.026008905622007063,1.5590554045549155e-09,0.0983911725538838,0.1141015315898795,0.00034914314958539317,0.9999999999999946,0.026687910258319736,0.0976881006618513,0.11404335171742785,0.00010551123187570538,1.0,0.026650303317260964
lognormal,wide,300,0.10527083491449721,0.025634909098952555,5.250256656501797e-08,0.12738629223894943,0.13619356509688677,0.0004022948100015455,0.999999999999999,0.03341141712107154,0.12714186569237895,0.1364984959830982,0.0004305330317962511,1.0,0.03342312305680466
lognormal,wide,365,0.13772699638621014,0.0319629927404643,6.526442467942645e-07,0.15527145426543215,0.15548817040390947,0.0002796074242254791,0.9999999999999994,0.04081057776322261,0.15488190493561182,0.15586281131519453,0.0011870869673561704,1.0,0.04081077419238823
mixture,baseline,30,0.3316689593993963,0.09088865698955667,5.156148778539543e-13,0.00718329361293731,0.015097421160048271,2.397391316422298e-12,1.000000000000025,0.004442847687788465,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
mixture,baseline,60,0.122031260354575,0.053162407319167694,9.62614897222046e-08,0.025435110891259438,0.028293329787498323,1.7228839574549445e-10,1.0000000000000135,0.009089342127360123,0.024457677081192418,0.02895841477614615,2.6377807968926344e-05,1.0,0.009082911152477561
mixture,baseline,90,0.1326124813658324,0.051537392638227285,5.905216433180585e-06,0.03863495772522191,0.04035246184064048,1.4423250190353555e-05,1.0000000000000053,0.013450557399836915,0.038783706826076556,0.0415837108951731,0.0002779813074339507,1.0,0.013693586207532478
mixture,baseline,120,0.09288672426768109,0.0438114712591971,4.77476545294425e-05,0.05070306690948556,0.05304725626798765,0.0006730069338630688,1.0000000000000089,0.01829825295238141,0.051150675782629516,0.05318238613221769,0.0009272247952358108,1.0,0.018351192669116022
mixture,baseline,180,0.08620780393561651,0.04928381977240897,0.0004048611380793681,0.07352155112512217,0.07593440000096827,0.0006558330880233652,0.9999999999999913,0.027093415259057396,0.07403713869332912,0.07508588197205285,0.0031938592034413188,1.0,0.027809601774899727
mixture,baseline,240,0.1483991410426017,0.04285019771512231,0.001237377170141368,0.09664990744719099,0.0948014962178069,0.006749326845986478,0.9999999999999563,0.037506425305001034,0.09598528689944674,0.09474501957624087,0.00604275442082521,1.0,0.03746302188589668
mixture,baseline,300,0.10818795108214924,0.048170069224993964,0.002524076480763418,0.11711099771788613,0.11154309539907395,0.01098860370947068,0.9999999999999976,0.04639638223955411,0.11683927305409603,0.1118526225060108,0.008940648254429933,1.0,0.04731646597038387
mixture,baseline,365,0.1379168325332595,0.05022715760204586,0.0043594457990358765,0.1382980774764196,0.12735256946635817,0.01781322717127421,1.0,0.05599059917178861,0.13788288951261907,0.1277329330250726,0.011885496979341553,1.0,0.05822272356993101
mixture,coarse,30,0.32068741877832746,0.11794043685003444,5.156148778539543e-13,0.007021520526633768,0.015090607644784114,6.032459553690402e-12,0.9999999999999977,0.004444083809741484,0.007369611340624764,0.012441093072208736,2.7300738522736983e-08,1.0,0.004518576768047543
