case_id,benchmark,coverage,repetition,method,forward_shift,penalty,validation_rmse,mean_full_density_l1,tail_error_pp,tail_absolute_error_pp
lognormal_extended_r00,lognormal,extended,0,selected,0,1e-06,0.08995803016977484,0.033310535465968905,0.07203636531190993,0.07203636531190993
lognormal_extended_r00,lognormal,extended,0,fixed,0,1e-06,0.08995803016977484,0.033310535465968905,0.07203636531190993,0.07203636531190993
lognormal_extended_r01,lognormal,extended,1,selected,0,1e-06,0.09046163608910264,0.03346380775243188,0.0027052754618852714,0.0027052754618852714
lognormal_extended_r01,lognormal,extended,1,fixed,0,1e-06,0.09046163608910264,0.03346380775243188,0.0027052754618852714,0.0027052754618852714
lognormal_extended_r02,lognormal,extended,2,selected,0,1e-06,0.0953827927091973,0.033440539164512506,0.010935172842680254,0.010935172842680254
lognormal_extended_r02,lognormal,extended,2,fixed,0,1e-06,0.0953827927091973,0.033440539164512506,0.010935172842680254,0.010935172842680254
lognormal_extended_r03,lognormal,extended,3,selected,0,1e-06,0.08992809810728987,0.03334342829776351,-0.01927279998829778,0.01927279998829778
lognormal_extended_r03,lognormal,extended,3,fixed,0,1e-06,0.08992809810728987,0.03334342829776351,-0.01927279998829778,0.01927279998829778
lognormal_extended_r04,lognormal,extended,4,selected,0,1e-06,0.08897039009447266,0.0331062901687829,-0.028764786975449416,0.028764786975449416
lognormal_extended_r04,lognormal,extended,4,fixed,0,1e-06,0.08897039009447266,0.0331062901687829,-0.028764786975449416,0.028764786975449416
lognormal_extended_r05,lognormal,extended,5,selected,0,1e-06,0.09312710345712213,0.03450222478160266,-0.010828772551802857,0.010828772551802857
lognormal_extended_r05,lognormal,extended,5,fixed,0,1e-06,0.09312710345712213,0.03450222478160266,-0.010828772551802857,0.010828772551802857
lognormal_extended_r06,lognormal,extended,6,selected,0,1e-06,0.09575627533171113,0.033742856279751585,0.026698837280569248,0.026698837280569248
lognormal_extended_r06,lognormal,extended,6,fixed,0,1e-06,0.09575627533171113,0.033742856279751585,0.026698837280569248,0.026698837280569248
lognormal_extended_r07,lognormal,extended,7,selected,0,1e-06,0.1016647300974451,0.033672917253238885,-0.01653727317669901,0.01653727317669901
lognormal_extended_r07,lognormal,extended,7,fixed,0,1e-06,0.1016647300974451,0.033672917253238885,-0.01653727317669901,0.01653727317669901
lognormal_extended_r08,lognormal,extended,8,selected,0,1e-06,0.09193314600950164,0.03401784430047311,-0.004595065937345742,0.004595065937345742
lognormal_extended_r08,lognormal,extended,8,fixed,0,1e-06,0.09193314600950164,0.03401784430047311,-0.004595065937345742,0.004595065937345742
lognormal_extended_r09,lognormal,extended,9,selected,0,1e-06,0.09829035670326602,0.0340959926194329,0.04252629798076504,0.04252629798076504
lognormal_extended_r09,lognormal,extended,9,fixed,0,1e-06,0.09829035670326602,0.0340959926194329,0.04252629798076504,0.04252629798076504
lognormal_extended_r10,lognormal,extended,10,selected,0,1e-06,0.10611184895584987,0.03401317526550145,0.02388840007796298,0.02388840007796298
lognormal_extended_r10,lognormal,extended,10,fixed,0,1e-06,0.10611184895584987,0.03401317526550145,0.02388840007796298,0.02388840007796298
lognormal_extended_r11,lognormal,extended,11,selected,0,1e-06,0.09405324068848334,0.03334495649124898,-0.010449314111205888,0.010449314111205888
lognormal_extended_r11,lognormal,extended,11,fixed,0,1e-06,0.09405324068848334,0.03334495649124898,-0.010449314111205888,0.010449314111205888
lognormal_extended_r12,lognormal,extended,12,selected,0,1e-06,0.0990869425987702,0.03397996189328554,-0.03720890261451852,0.03720890261451852
lognormal_extended_r12,lognormal,extended,12,fixed,0,1e-06,0.0990869425987702,0.03397996189328554,-0.03720890261451852,0.03720890261451852
lognormal_extended_r13,lognormal,extended,13,selected,0,1e-06,0.09753195469660307,0.03362555747655299,-0.017369216671557757,0.017369216671557757
lognormal_extended_r13,lognormal,extended,13,fixed,0,1e-06,0.09753195469660307,0.03362555747655299,-0.017369216671557757,0.017369216671557757
lognormal_extended_r14,lognormal,extended,14,selected,0,1e-06,0.08548928098993774,0.033380746756876994,-0.016635524054238154,0.016635524054238154
lognormal_extended_r14,lognormal,extended,14,fixed,0,1e-06,0.08548928098993774,0.033380746756876994,-0.016635524054238154,0.016635524054238154
lognormal_extended_r15,lognormal,extended,15,selected,0,1e-06,0.10052131227289955,0.034294401888862555,0.033016247432166454,0.033016247432166454
lognormal_extended_r15,lognormal,extended,15,fixed,0,1e-06,0.10052131227289955,0.034294401888862555,0.033016247432166454,0.033016247432166454
lognormal_extended_r16,lognormal,extended,16,selected,0,1e-06,0.08767590872585264,0.03327085855266637,0.04131848301425524,0.04131848301425524
lognormal_extended_r16,lognormal,extended,16,fixed,0,1e-06,0.08767590872585264,0.03327085855266637,0.04131848301425524,0.04131848301425524
lognormal_extended_r17,lognormal,extended,17,selected,0,1e-06,0.09585912860295072,0.033481885984864776,0.05355313369926834,0.05355313369926834
lognormal_extended_r17,lognormal,extended,17,fixed,0,1e-06,0.09585912860295072,0.033481885984864776,0.05355313369926834,0.05355313369926834
lognormal_extended_r18,lognormal,extended,18,selected,0,1e-06,0.09652215277816695,0.03364598991438287,0.01139803954456236,0.01139803954456236
lognormal_extended_r18,lognormal,extended,18,fixed,0,1e-06,0.09652215277816695,0.03364598991438287,0.01139803954456236,0.01139803954456236
lognormal_extended_r19,lognormal,extended,19,selected,0,1e-06,0.09744678551256027,0.03310878707572596,0.0033412249654110994,0.0033412249654110994
lognormal_extended_r19,lognormal,extended,19,fixed,0,1e-06,0.09744678551256027,0.03310878707572596,0.0033412249654110994,0.0033412249654110994
lognormal_original_r00,lognormal,original,0,selected,0,1e-06,0.2852918077023911,0.03618724200623231,-0.032202023872211404,0.032202023872211404
lognormal_original_r00,lognormal,original,0,fixed,0,1e-06,0.2852918077023911,0.03618724200623231,-0.032202023872211404,0.032202023872211404
lognormal_original_r01,lognormal,original,1,selected,0,1e-06,0.19335719146200192,0.03560603605893941,-0.08156178682301965,0.08156178682301965
lognormal_original_r01,lognormal,original,1,fixed,0,1e-06,0.19335719146200192,0.03560603605893941,-0.08156178682301965,0.08156178682301965
lognormal_original_r02,lognormal,original,2,selected,0,1e-06,0.19221630780152116,0.0361932103953031,-0.04420982833549677,0.04420982833549677
lognormal_original_r02,lognormal,original,2,fixed,0,1e-06,0.19221630780152116,0.0361932103953031,-0.04420982833549677,0.04420982833549677
lognormal_original_r03,lognormal,original,3,selected,0,1e-06,0.22250720950733088,0.03686805474760126,-0.10356240563330352,0.10356240563330352
